Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
SIG-M5	LAML	blood	acute_myeloid_leukaemia	0.13	0.507
KS-1	GBM	nervous_system	glioma	0.135	0.511
RL95-2	UNCLASSIFIED	urogenital_system	endometrium	0.144	0.523
A4-Fuk	DLBC	blood	B_cell_lymphoma	0.144	0.522
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	0.154	0.533
KGN	UNCLASSIFIED	urogenital_system	ovary	0.164	0.539
CESS	LAML	blood	acute_myeloid_leukaemia	0.164	0.547
NBsusSR	UNCLASSIFIED	nervous_system	neuroblastoma	0.165	0.546
NCI-H524	SCLC	lung	lung_small_cell_carcinoma	0.178	0.559
LXF-289	LUAD	lung	lung_NSCLC_adenocarcinoma	0.182	0.561
RKO	COREAD	digestive_system	large_intestine	0.19	0.568
NAMALWA	UNCLASSIFIED	blood	Burkitt_lymphoma	0.205	0.584
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.209	0.579
BL-70	UNCLASSIFIED	blood	Burkitt_lymphoma	0.215	0.594
ALL-PO	ALL	blood	lymphoblastic_leukemia	0.22	0.587
ST486	UNCLASSIFIED	blood	Burkitt_lymphoma	0.221	0.595
KM12	COREAD	digestive_system	large_intestine	0.225	0.589
NCI-H211	SCLC	lung	lung_small_cell_carcinoma	0.234	0.601
MRK-nu-1	BRCA	breast	breast	0.236	0.605
DOHH-2	DLBC	blood	B_cell_lymphoma	0.243	0.606
NB4	LAML	blood	acute_myeloid_leukaemia	0.243	0.615
SK-PN-DW	UNCLASSIFIED	bone	ewings_sarcoma	0.247	0.605
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	0.248	0.614
NB13	NB	nervous_system	neuroblastoma	0.25	0.615
HL-60	LAML	blood	acute_myeloid_leukaemia	0.261	0.622
NCI-H510A	SCLC	lung	lung_small_cell_carcinoma	0.263	0.622
JSC-1	DLBC	blood	B_cell_lymphoma	0.265	0.619
KCL-22	LCML	blood	chronic_myeloid_leukaemia	0.269	0.631
MEG-01	LCML	blood	chronic_myeloid_leukaemia	0.289	0.636
EM-2	LCML	blood	chronic_myeloid_leukaemia	0.305	0.632
A388	UNCLASSIFIED	skin	skin_other	0.313	0.635
SBC-1	SCLC	lung	lung_small_cell_carcinoma	0.323	0.651
ONS-76	MB	nervous_system	medulloblastoma	0.33	0.646
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	0.33	0.673
QIMR-WIL	LAML	blood	acute_myeloid_leukaemia	0.345	0.661
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	0.368	0.667
HT-144	SKCM	skin	melanoma	0.42	0.678
HCC1599	BRCA	breast	breast	0.46	0.689
K-562	LCML	blood	chronic_myeloid_leukaemia	0.472	0.707
ML-2	LAML	blood	acute_myeloid_leukaemia	0.485	0.721
NB6	NB	nervous_system	neuroblastoma	0.502	0.693
SNU-16	STAD	digestive_system	stomach	0.51	0.728
IST-SL2	SCLC	lung	lung_small_cell_carcinoma	0.511	0.716
SK-NEP-1	UNCLASSIFIED	kidney	kidney	0.523	0.725
CTV-1	LAML	blood	acute_myeloid_leukaemia	0.547	0.751
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	0.56	0.729
TGBC24TKB	UNCLASSIFIED	digestive_system	biliary_tract	0.579	0.741
JM1	DLBC	blood	B_cell_lymphoma	0.633	0.764
TE-8	ESCA	aero_digestive_tract	oesophagus	0.64	0.739
NKM-1	LAML	blood	acute_myeloid_leukaemia	0.649	0.745
NCI-H187	SCLC	lung	lung_small_cell_carcinoma	0.662	0.741
TE-15	ESCA	aero_digestive_tract	oesophagus	0.666	0.738
ES4	UNCLASSIFIED	bone	ewings_sarcoma	0.682	0.739
KARPAS-620	MM	blood	haematopoietic_neoplasm_other	0.685	0.776
NCI-H1963	SCLC	lung	lung_small_cell_carcinoma	0.702	0.777
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	0.705	0.768
KP-N-YS	NB	nervous_system	neuroblastoma	0.727	0.748
ETK-1	UNCLASSIFIED	digestive_system	biliary_tract	0.739	0.751
HCE-4	ESCA	aero_digestive_tract	oesophagus	0.806	0.799
KURAMOCHI	UNCLASSIFIED	urogenital_system	ovary	0.812	0.76
DU-4475	BRCA	breast	breast	0.829	0.811
BB65-RCC	KIRC	kidney	kidney	0.829	0.763
NCI-H1876	SCLC	lung	lung_small_cell_carcinoma	0.833	0.779
SF126	GBM	nervous_system	glioma	0.834	0.774
LS-411N	COREAD	digestive_system	large_intestine	0.885	0.764
NB17	NB	nervous_system	neuroblastoma	0.888	0.771
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.89	0.796
HCC1187	BRCA	breast	breast	0.908	0.799
IST-SL1	SCLC	lung	lung_small_cell_carcinoma	0.921	0.79
NU-DUL-1	DLBC	blood	B_cell_lymphoma	0.926	0.829
SU-DHL-6	DLBC	blood	B_cell_lymphoma	0.936	0.846
CMK	LAML	blood	acute_myeloid_leukaemia	0.945	0.822
NCI-H720	UNCLASSIFIED	lung	lung_NSCLC_carcinoid	0.946	0.809
OVCAR-4	OV	urogenital_system	ovary	0.961	0.749
A101D	SKCM	skin	melanoma	0.964	0.773
SH-4	SKCM	skin	melanoma	0.968	0.745
HAL-01	ALL	blood	lymphoblastic_leukemia	0.999	0.822
SCLC-21H	UNCLASSIFIED	lung	lung_small_cell_carcinoma	1	0.794
TE-10	ESCA	aero_digestive_tract	oesophagus	1.01	0.807
K5	THCA	thyroid	thyroid	1.02	0.812
HSC-39	STAD	digestive_system	stomach	1.04	0.831
SK-N-DZ	NB	nervous_system	neuroblastoma	1.04	0.81
NCI-H1648	LUAD	lung	lung_NSCLC_adenocarcinoma	1.06	0.802
NCI-H1304	SCLC	lung	lung_small_cell_carcinoma	1.08	0.801
KP-N-YN	NB	nervous_system	neuroblastoma	1.11	0.801
NCI-H209	SCLC	lung	lung_small_cell_carcinoma	1.11	0.806
KARPAS-45	ALL	blood	lymphoblastic_leukemia	1.13	0.848
ACN	UNCLASSIFIED	nervous_system	neuroblastoma	1.13	0.819
RPMI-6666	UNCLASSIFIED	blood	Hodgkin_lymphoma	1.15	0.795
NB5	NB	nervous_system	neuroblastoma	1.15	0.818
LU-134-A	SCLC	lung	lung_small_cell_carcinoma	1.17	0.812
EW-1	UNCLASSIFIED	bone	ewings_sarcoma	1.24	0.841
DND-41	ALL	blood	T_cell_leukemia	1.37	0.86
RPMI-8402	ALL	blood	lymphoblastic_T_cell_leukaemia	1.4	0.872
NB1	NB	nervous_system	neuroblastoma	1.42	0.828
HC-1	UNCLASSIFIED	blood	hairy_cell_leukaemia	1.44	0.85
LB1047-RCC	KIRC	kidney	kidney	1.44	0.827
NCI-H82	SCLC	lung	lung_small_cell_carcinoma	1.44	0.852
RH-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	1.45	0.877
OCI-M1	LAML	blood	acute_myeloid_leukaemia	1.48	0.899
TE-9	ESCA	aero_digestive_tract	oesophagus	1.49	0.841
NOMO-1	LAML	blood	acute_myeloid_leukaemia	1.5	0.829
HA7-RCC	KIRC	kidney	kidney	1.52	0.835
MZ1-PC	PAAD	pancreas	pancreas	1.53	0.819
NMC-G1	LGG	nervous_system	glioma	1.61	0.826
GB-1	GBM	nervous_system	glioma	1.64	0.833
RF-48	STAD	digestive_system	stomach	1.64	0.84
TE-1	ESCA	aero_digestive_tract	oesophagus	1.66	0.824
DEL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	1.66	0.904
NCI-H2107	UNCLASSIFIED	lung	lung_small_cell_carcinoma	1.66	0.835
TK10	KIRC	kidney	kidney	1.74	0.835
Daudi	UNCLASSIFIED	blood	Burkitt_lymphoma	1.76	0.888
HEL	LAML	blood	acute_myeloid_leukaemia	1.79	0.9
NOS-1	UNCLASSIFIED	bone	osteosarcoma	1.8	0.837
NCI-H747	COREAD	digestive_system	large_intestine	1.82	0.838
JJN-3	MM	blood	haematopoietic_neoplasm_other	1.83	0.904
GI-ME-N	NB	nervous_system	neuroblastoma	1.84	0.824
COR-L279	SCLC	lung	lung_small_cell_carcinoma	1.84	0.888
LU-139	SCLC	lung	lung_small_cell_carcinoma	1.84	0.833
PF-382	ALL	blood	lymphoblastic_T_cell_leukaemia	1.85	0.892
NCI-H2171	SCLC	lung	lung_small_cell_carcinoma	1.86	0.895
TGW	NB	nervous_system	neuroblastoma	1.88	0.897
WIL2-NS	UNCLASSIFIED	blood	lymphoid_neoplasm_other	1.92	0.91
Farage	DLBC	blood	B_cell_lymphoma	1.94	0.91
SF268	GBM	nervous_system	glioma	2.02	0.865
MC-CAR	MM	blood	haematopoietic_neoplasm_other	2.02	0.897
Tera-1	UNCLASSIFIED	urogenital_system	testis	2.03	0.862
KALS-1	LGG	nervous_system	glioma	2.03	0.833
DJM-1	UNCLASSIFIED	skin	skin_other	2.05	0.88
ES1	UNCLASSIFIED	bone	ewings_sarcoma	2.09	0.882
KY821	LAML	blood	leukemia	2.22	0.909
LC4-1	ALL	blood	lymphoblastic_leukemia	2.24	0.87
AMO-1	MM	blood	haematopoietic_neoplasm_other	2.29	0.915
MMAc-SF	SKCM	skin	melanoma	2.31	0.881
CTB-1	DLBC	blood	B_cell_lymphoma	2.37	0.846
MHH-NB-11	NB	nervous_system	neuroblastoma	2.41	0.877
COLO-684	UCEC	urogenital_system	endometrium	2.43	0.874
LB2241-RCC	KIRC	kidney	kidney	2.54	0.878
SW872	UNCLASSIFIED	soft_tissue	soft_tissue_other	2.56	0.913
NCI-H446	SCLC	lung	lung_small_cell_carcinoma	2.59	0.886
TALL-1	ALL	blood	lymphoblastic_T_cell_leukaemia	2.63	0.907
TE-12	ESCA	aero_digestive_tract	oesophagus	2.64	0.87
NCI-H748	SCLC	lung	lung_small_cell_carcinoma	2.69	0.865
A3-KAW	DLBC	blood	B_cell_lymphoma	2.69	0.943
LS-1034	COREAD	digestive_system	large_intestine	2.71	0.886
NCI-H1581	UNCLASSIFIED	lung	lung_NSCLC_large_cell	2.77	0.917
NCI-H1417	SCLC	lung	lung_small_cell_carcinoma	2.78	0.877
KU812	LCML	blood	chronic_myeloid_leukaemia	2.78	0.918
NCI-H2126	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	2.81	0.867
BE2-M17	NB	nervous_system	neuroblastoma	2.82	0.9
SLVL	DLBC	blood	B_cell_lymphoma	2.96	0.899
MEC-1	UNCLASSIFIED	blood	B_cell_leukemia	2.98	0.902
Hs-445	UNCLASSIFIED	blood	Hodgkin_lymphoma	2.99	0.921
8-MG-BA	GBM	nervous_system	glioma	3.03	0.92
OS-RC-2	KIRC	kidney	kidney	3.05	0.857
JiyoyeP-2003	UNCLASSIFIED	blood	Burkitt_lymphoma	3.09	0.933
GI-1	LGG	nervous_system	glioma	3.11	0.917
NCI-H526	SCLC	lung	lung_small_cell_carcinoma	3.12	0.918
TF-1	UNCLASSIFIED	blood	acute_myeloid_leukaemia	3.13	0.913
KARPAS-422	DLBC	blood	B_cell_lymphoma	3.15	0.914
NCI-H1975	LUAD	lung	lung_NSCLC_adenocarcinoma	3.16	0.892
NB69	NB	nervous_system	neuroblastoma	3.18	0.933
KM-H2	UNCLASSIFIED	blood	Hodgkin_lymphoma	3.23	0.942
NB(TU)1-10	NB	nervous_system	neuroblastoma	3.23	0.938
GCIY	STAD	digestive_system	stomach	3.26	0.897
MZ7-mel	SKCM	skin	melanoma	3.27	0.909
L-540	UNCLASSIFIED	blood	Hodgkin_lymphoma	3.29	0.934
IA-LM	UNCLASSIFIED	lung	lung_NSCLC_large_cell	3.29	0.897
SU-DHL-4	DLBC	blood	B_cell_lymphoma	3.32	0.984
GRANTA-519	DLBC	blood	B_cell_lymphoma	3.39	0.934
OPM-2	MM	blood	myeloma	3.48	0.954
Toledo	UNCLASSIFIED	blood	B_cell_lymphoma	3.49	0.898
UACC-257	SKCM	skin	melanoma	3.49	0.888
HCC-33	SCLC	lung	lung_small_cell_carcinoma	3.53	0.918
SCC-3	DLBC	blood	B_cell_lymphoma	3.54	0.984
MOLP-8	MM	blood	myeloma	3.58	0.927
LOXIMVI	SKCM	skin	melanoma	3.59	0.939
IST-MEL1	SKCM	skin	melanoma	3.72	0.898
SUP-HD1	UNCLASSIFIED	blood	Hodgkin_lymphoma	3.93	0.934
Ramos-2G6-4C10	UNCLASSIFIED	blood	Burkitt_lymphoma	4.02	0.953
HD-MY-Z	UNCLASSIFIED	blood	Hodgkin_lymphoma	4.09	0.928
SK-N-FI	NB	nervous_system	neuroblastoma	4.11	0.93
P3HR-1	UNCLASSIFIED	blood	Burkitt_lymphoma	4.14	0.949
SJSA-1	UNCLASSIFIED	bone	bone_other	4.3	0.914
RPMI-8226	MM	blood	myeloma	4.4	0.955
HH	UNCLASSIFIED	blood	T_cell_leukemia	4.4	0.894
MHH-PREB-1	UNCLASSIFIED	blood	B_cell_leukemia	4.52	0.951
COLO-320-HSR	COREAD	digestive_system	large_intestine	4.55	0.957
NCI-H1355	LUAD	lung	lung_NSCLC_adenocarcinoma	4.58	0.885
NK-92MI	UNCLASSIFIED	blood	lymphoid_neoplasm_other	4.6	0.946
KMOE-2	LAML	blood	acute_myeloid_leukaemia	4.68	0.954
IST-MES1	MESO	lung	mesothelioma	4.85	0.936
PL-21	LAML	blood	acute_myeloid_leukaemia	4.85	0.917
VCaP	PRAD	urogenital_system	prostate	4.96	0.934
NCI-H1770	UNCLASSIFIED	lung	lung_NSCLC_not_specified	4.97	0.958
LP-1	MM	blood	myeloma	5.1	0.968
KMS-12-BM	MM	blood	myeloma	5.21	0.97
SF539	LGG	nervous_system	glioma	5.24	0.958
KELLY	NB	nervous_system	neuroblastoma	5.3	0.956
BC-3	DLBC	blood	B_cell_lymphoma	5.31	0.959
MDST8	COREAD	digestive_system	large_intestine	5.33	0.944
CHP-126	NB	nervous_system	neuroblastoma	5.36	0.94
ES-2	UNCLASSIFIED	urogenital_system	ovary	5.47	0.963
BC-1	DLBC	blood	B_cell_lymphoma	5.48	0.967
NCI-H1436	SCLC	lung	lung_small_cell_carcinoma	5.53	0.927
REH	UNCLASSIFIED	blood	B_cell_leukemia	5.55	0.951
NEC8	UNCLASSIFIED	urogenital_system	testis	5.74	0.969
LS-123	COREAD	digestive_system	large_intestine	5.74	0.909
CPC-N	SCLC	lung	lung_small_cell_carcinoma	5.82	0.936
MDA-MB-134-VI	UNCLASSIFIED	breast	breast	5.84	0.936
LB373-MEL-D	SKCM	skin	melanoma	5.84	0.949
JAR	UNCLASSIFIED	urogenital_system	urogenital_system_other	5.87	0.95
CAL-148	BRCA	breast	breast	5.9	0.959
NCI-H1155	UNCLASSIFIED	lung	lung_NSCLC_large_cell	5.92	0.975
L-363	MM	blood	myeloma	6.02	0.969
SU-DHL-1	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	6.21	0.996
LAN-6	NB	nervous_system	neuroblastoma	6.29	0.928
GOTO	NB	nervous_system	neuroblastoma	6.29	0.934
SW962	UNCLASSIFIED	urogenital_system	urogenital_system_other	6.32	0.924
SK-MM-2	MM	blood	myeloma	6.42	0.946
SNB75	GBM	nervous_system	glioma	6.49	0.904
J-RT3-T3-5	UNCLASSIFIED	blood	lymphoblastic_T_cell_leukaemia	6.54	0.97
TGBC1TKB	UNCLASSIFIED	digestive_system	biliary_tract	6.59	0.953
ARH-77	MM	blood	myeloma	6.76	0.958
MZ2-MEL	SKCM	skin	melanoma	6.76	0.933
BOKU	UNCLASSIFIED	urogenital_system	cervix	6.79	0.931
CP67-MEL	SKCM	skin	melanoma	6.81	0.882
COR-L88	SCLC	lung	lung_small_cell_carcinoma	6.97	0.934
LB2518-MEL	SKCM	skin	melanoma	6.99	0.948
NCI-H1092	SCLC	lung	lung_small_cell_carcinoma	7.19	0.955
TE-441-T	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	7.19	0.961
LS-513	COREAD	digestive_system	large_intestine	7.21	0.951
EJM	MM	blood	lymphoid_neoplasm_other	7.32	0.979
A704	KIRC	kidney	kidney	7.47	0.961
Calu-6	LUAD	lung	lung_NSCLC_adenocarcinoma	7.61	0.942
ES6	UNCLASSIFIED	bone	ewings_sarcoma	7.63	0.933
Raji	UNCLASSIFIED	blood	Burkitt_lymphoma	8	0.968
NCI-H1522	UNCLASSIFIED	lung	lung_small_cell_carcinoma	8.01	0.976
NCI-H69	SCLC	lung	lung_small_cell_carcinoma	8.11	0.948
EVSA-T	BRCA	breast	breast	8.13	0.979
LB831-BLC	BLCA	urogenital_system	bladder	8.14	0.959
LB996-RCC	KIRC	kidney	kidney	8.16	0.943
SNU-C2B	COREAD	digestive_system	large_intestine	8.22	0.929
NCI-H345	SCLC	lung	lung_small_cell_carcinoma	8.5	0.954
TC-71	UNCLASSIFIED	bone	ewings_sarcoma	8.53	0.983
GR-ST	ALL	blood	lymphoblastic_leukemia	8.58	0.941
KNS-42	LGG	nervous_system	glioma	8.63	0.942
NCI-H64	SCLC	lung	lung_small_cell_carcinoma	8.63	0.996
no-11	LGG	nervous_system	glioma	8.9	0.938
KP-N-RT-BM-1	NB	nervous_system	neuroblastoma	8.95	0.934
CA46	UNCLASSIFIED	blood	Burkitt_lymphoma	9.12	0.957
RXF393	KIRC	kidney	kidney	9.12	0.928
ROS-50	UNCLASSIFIED	blood	B_cell_leukemia	9.15	0.937
NCI-H2141	SCLC	lung	lung_small_cell_carcinoma	9.23	0.968
DMS-114	SCLC	lung	lung_small_cell_carcinoma	9.35	0.95
MPP-89	MESO	lung	mesothelioma	9.53	0.937
KG-1	LAML	blood	acute_myeloid_leukaemia	9.8	0.979
A253	UNCLASSIFIED	aero_digestive_tract	head_and_neck	9.89	0.97
NCI-H1836	SCLC	lung	lung_small_cell_carcinoma	10.1	0.957
DG-75	UNCLASSIFIED	blood	Burkitt_lymphoma	10.9	0.968
NCI-H220	UNCLASSIFIED	lung	lung_small_cell_carcinoma	10.9	0.961
H-EMC-SS	UNCLASSIFIED	bone	chondrosarcoma	11.3	0.945
TE-5	ESCA	aero_digestive_tract	oesophagus	11.6	0.957
KNS-81-FD	LGG	nervous_system	glioma	11.7	0.941
NB14	NB	nervous_system	neuroblastoma	11.8	0.978
P31-FUJ	LAML	blood	acute_myeloid_leukaemia	11.8	0.996
P30-OHK	ALL	blood	lymphoblastic_leukemia	12.1	0.989
EW-3	UNCLASSIFIED	bone	ewings_sarcoma	12.3	0.96
NCI-H2081	SCLC	lung	lung_small_cell_carcinoma	12.5	0.967
HCC2157	BRCA	breast	breast	12.8	0.969
KLE	UCEC	urogenital_system	endometrium	13.2	0.93
EHEB	CLL	blood	lymphoid_neoplasm_other	13.3	0.938
L-1236	UNCLASSIFIED	blood	Hodgkin_lymphoma	13.5	0.989
KARPAS-299	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	13.7	0.991
NCI-H1694	SCLC	lung	lung_small_cell_carcinoma	13.7	0.976
CL-11	COREAD	digestive_system	large_intestine	14.5	0.965
SNU-5	STAD	digestive_system	stomach	14.7	0.976
YT	ALL	blood	lymphoid_neoplasm_other	14.9	0.991
TE-6	ESCA	aero_digestive_tract	oesophagus	15	0.964
NCI-H2135	UNCLASSIFIED	lung	lung_NSCLC_not_specified	15	0.98
NCI-H719	UNCLASSIFIED	lung	lung_small_cell_carcinoma	15.4	0.975
WSU-DLCL2	DLBC	blood	B_cell_lymphoma	15.5	0.993
ME-1	LAML	blood	acute_myeloid_leukaemia	15.6	0.973
EB-3	UNCLASSIFIED	blood	Burkitt_lymphoma	15.7	0.966
KINGS-1	LGG	nervous_system	glioma	15.9	0.95
JVM-2	CLL	blood	lymphoid_neoplasm_other	16	0.961
GAK	SKCM	skin	melanoma	16.3	0.983
MS-1	SCLC	lung	lung_small_cell_carcinoma	16.5	0.988
OCI-AML3	LAML	blood	acute_myeloid_leukaemia	16.5	0.991
NCI-H23	LUAD	lung	lung_NSCLC_adenocarcinoma	16.6	0.981
no-10	LGG	nervous_system	glioma	16.7	0.962
MSTO-211H	MESO	lung	mesothelioma	17.2	0.988
MLMA	UNCLASSIFIED	blood	hairy_cell_leukaemia	17.3	0.98
WSU-NHL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	17.5	0.99
SK-MEL-1	SKCM	skin	melanoma	17.5	0.991
ES3	UNCLASSIFIED	bone	ewings_sarcoma	17.7	0.977
SKM-1	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	17.7	0.973
EW-24	UNCLASSIFIED	bone	ewings_sarcoma	18.4	0.99
DMS-153	UNCLASSIFIED	lung	lung_small_cell_carcinoma	18.6	0.947
L-428	UNCLASSIFIED	blood	Hodgkin_lymphoma	19	0.991
HT	DLBC	blood	B_cell_lymphoma	19.1	0.988
TUR	DLBC	blood	B_cell_lymphoma	19.4	0.988
IM-9	MM	blood	myeloma	19.7	0.992
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	20.2	0.988
ES7	UNCLASSIFIED	bone	ewings_sarcoma	20.2	0.981
SK-MEL-2	SKCM	skin	melanoma	20.3	0.98
U-698-M	UNCLASSIFIED	blood	B_cell_leukemia	20.8	0.984
EW-13	UNCLASSIFIED	bone	ewings_sarcoma	21.1	0.976
LC-1F	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	21.1	0.964
EB2	UNCLASSIFIED	blood	Burkitt_lymphoma	21.2	0.99
CGTH-W-1	THCA	thyroid	thyroid	21.2	0.984
D-283MED	MB	nervous_system	medulloblastoma	21.5	0.99
THP-1	LAML	blood	acute_myeloid_leukaemia	21.8	0.991
NCI-H1869	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	21.8	0.976
SHP-77	SCLC	lung	lung_small_cell_carcinoma	21.9	0.991
NB10	NB	nervous_system	neuroblastoma	22.4	0.986
SUP-T1	ALL	blood	lymphoblastic_T_cell_leukaemia	22.4	0.99
NCI-H2196	SCLC	lung	lung_small_cell_carcinoma	22.5	0.981
NCI-H1385	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	22.8	0.982
KASUMI-1	LAML	blood	acute_myeloid_leukaemia	23.1	0.985
RL	DLBC	blood	B_cell_lymphoma	23.1	0.99
NCI-H226	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	23.8	0.982
BT-474	BRCA	breast	breast	23.9	0.978
COLO-800	SKCM	skin	melanoma	24.1	0.987
ES5	UNCLASSIFIED	bone	ewings_sarcoma	24.9	0.977
D-247MG	GBM	nervous_system	glioma	25.9	0.964
CP66-MEL	SKCM	skin	melanoma	26	0.978
ECC4	UNCLASSIFIED	digestive_system	digestive_system_other	26.3	0.955
DB	DLBC	blood	B_cell_lymphoma	27	0.98
COLO-668	SCLC	lung	lung_small_cell_carcinoma	27	0.987
SNU-1	STAD	digestive_system	stomach	27.2	0.985
SCH	UNCLASSIFIED	digestive_system	stomach	27.9	0.983
HDLM-2	UNCLASSIFIED	blood	Hodgkin_lymphoma	28.2	0.989
MFM-223	BRCA	breast	breast	28.3	0.988
DMS-79	SCLC	lung	lung_small_cell_carcinoma	28.3	0.978
COLO-824	BRCA	breast	breast	28.5	0.987
JVM-3	CLL	blood	lymphoid_neoplasm_other	29	0.987
HCC2218	BRCA	breast	breast	29.1	0.973
MN-60	UNCLASSIFIED	blood	B_cell_leukemia	29.1	0.986
EC-GI-10	ESCA	aero_digestive_tract	oesophagus	29.1	0.989
LB771-HNC	HNSC	aero_digestive_tract	head_and_neck	30.1	0.974
C2BBe1	COREAD	digestive_system	large_intestine	30.7	0.981
U-87-MG	GBM	nervous_system	glioma	30.8	0.979
Mo-T	UNCLASSIFIED	blood	hairy_cell_leukaemia	31.3	0.988
NB7	NB	nervous_system	neuroblastoma	31.6	0.986
COR-L95	SCLC	lung	lung_small_cell_carcinoma	31.7	0.98
EW-18	UNCLASSIFIED	bone	ewings_sarcoma	32.7	0.986
CAS-1	GBM	nervous_system	glioma	33.1	0.969
AM-38	GBM	nervous_system	glioma	33.3	0.989
D-336MG	LGG	nervous_system	glioma	33.8	0.974
OMC-1	CESC	urogenital_system	cervix	35.5	0.988
SNU-C1	COREAD	digestive_system	large_intestine	35.7	0.965
Becker	GBM	nervous_system	glioma	35.9	0.984
COLO-829	SKCM	skin	melanoma	36.5	0.965
NH-12	NB	nervous_system	neuroblastoma	37.9	0.985
LNCaP-Clone-FGC	PRAD	urogenital_system	prostate	39.6	0.984
