Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
Sci-1	UNCLASSIFIED	blood	B_cell_lymphoma	1.99	0.831
NK-92MI	UNCLASSIFIED	blood	lymphoid_neoplasm_other	2.03	0.816
SK-NEP-1	UNCLASSIFIED	kidney	kidney	2.05	0.815
NCI-H2171	SCLC	lung	lung_small_cell_carcinoma	2.11	0.832
SNU-1	STAD	digestive_system	stomach	2.12	0.805
KMOE-2	LAML	blood	acute_myeloid_leukaemia	2.14	0.829
VAL	DLBC	blood	B_cell_lymphoma	2.14	0.811
HSC-39	STAD	digestive_system	stomach	2.18	0.837
D-392MG	GBM	nervous_system	glioma	2.19	0.774
HCC2218	BRCA	breast	breast	2.19	0.783
EW-18	UNCLASSIFIED	bone	ewings_sarcoma	2.22	0.807
HCC2998	COREAD	digestive_system	large_intestine	2.24	0.82
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	2.25	0.831
MDA-MB-134-VI	UNCLASSIFIED	breast	breast	2.26	0.806
no-10	LGG	nervous_system	glioma	2.3	0.791
MY-M12	ALL	blood	leukemia	2.32	0.804
D-247MG	GBM	nervous_system	glioma	2.36	0.78
DEL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	2.36	0.864
HL-60	LAML	blood	acute_myeloid_leukaemia	2.37	0.84
QIMR-WIL	LAML	blood	acute_myeloid_leukaemia	2.4	0.829
K052	UNCLASSIFIED	blood	acute_myeloid_leukaemia	2.44	0.864
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	2.45	0.804
NEC8	UNCLASSIFIED	urogenital_system	testis	2.53	0.858
SU-DHL-4	DLBC	blood	B_cell_lymphoma	2.54	0.899
P32-ISH	UNCLASSIFIED	blood	Burkitt_lymphoma	2.55	0.886
ES8	UNCLASSIFIED	bone	ewings_sarcoma	2.57	0.844
SUP-B15	ALL	blood	lymphoblastic_leukemia	2.59	0.84
NB4	LAML	blood	acute_myeloid_leukaemia	2.6	0.868
NB7	NB	nervous_system	neuroblastoma	2.61	0.827
Ramos-2G6-4C10	UNCLASSIFIED	blood	Burkitt_lymphoma	2.63	0.861
IST-SL2	SCLC	lung	lung_small_cell_carcinoma	2.72	0.839
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	2.73	0.871
KARPAS-231	UNCLASSIFIED	blood	B_cell_leukemia	2.74	0.888
TE-5	ESCA	aero_digestive_tract	oesophagus	2.74	0.818
DU-4475	BRCA	breast	breast	2.74	0.876
no-11	LGG	nervous_system	glioma	2.79	0.809
NB13	NB	nervous_system	neuroblastoma	2.81	0.862
NCI-H510A	SCLC	lung	lung_small_cell_carcinoma	2.82	0.856
Daudi	UNCLASSIFIED	blood	Burkitt_lymphoma	2.84	0.866
SU-DHL-16	DLBC	blood	B_cell_lymphoma	2.85	0.911
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	2.9	0.848
OCI-LY-19	DLBC	blood	B_cell_lymphoma	2.9	0.858
BL-41	UNCLASSIFIED	blood	Burkitt_lymphoma	2.97	0.9
L-540	UNCLASSIFIED	blood	Hodgkin_lymphoma	2.97	0.867
NU-DUL-1	DLBC	blood	B_cell_lymphoma	2.99	0.888
OCI-M1	LAML	blood	acute_myeloid_leukaemia	3.04	0.903
Farage	DLBC	blood	B_cell_lymphoma	3.07	0.887
JJN-3	MM	blood	haematopoietic_neoplasm_other	3.17	0.89
TE-9	ESCA	aero_digestive_tract	oesophagus	3.19	0.848
SU-DHL-6	DLBC	blood	B_cell_lymphoma	3.2	0.917
MHH-PREB-1	UNCLASSIFIED	blood	B_cell_leukemia	3.22	0.874
IST-MES1	MESO	lung	mesothelioma	3.24	0.854
PSN1	PAAD	pancreas	pancreas	3.26	0.887
DOHH-2	DLBC	blood	B_cell_lymphoma	3.26	0.86
RPMI-8226	MM	blood	myeloma	3.3	0.883
ES1	UNCLASSIFIED	bone	ewings_sarcoma	3.37	0.862
LB2241-RCC	KIRC	kidney	kidney	3.39	0.843
LP-1	MM	blood	myeloma	3.4	0.894
NAMALWA	UNCLASSIFIED	blood	Burkitt_lymphoma	3.42	0.892
CESS	LAML	blood	acute_myeloid_leukaemia	3.45	0.89
A4-Fuk	DLBC	blood	B_cell_lymphoma	3.45	0.856
LXF-289	LUAD	lung	lung_NSCLC_adenocarcinoma	3.46	0.865
BL-70	UNCLASSIFIED	blood	Burkitt_lymphoma	3.5	0.899
KE-37	ALL	blood	lymphoblastic_leukemia	3.51	0.918
DJM-1	UNCLASSIFIED	skin	skin_other	3.53	0.866
TE-10	ESCA	aero_digestive_tract	oesophagus	3.58	0.869
OCUB-M	BRCA	breast	breast	3.59	0.891
Calu-6	LUAD	lung	lung_NSCLC_adenocarcinoma	3.61	0.846
MOLP-8	MM	blood	myeloma	3.63	0.873
COR-L88	SCLC	lung	lung_small_cell_carcinoma	3.63	0.841
SK-N-DZ	NB	nervous_system	neuroblastoma	3.65	0.87
NCI-H1581	UNCLASSIFIED	lung	lung_NSCLC_large_cell	3.65	0.882
OVCAR-4	OV	urogenital_system	ovary	3.66	0.812
ML-2	LAML	blood	acute_myeloid_leukaemia	3.68	0.889
RKO	COREAD	digestive_system	large_intestine	3.72	0.882
HT-144	SKCM	skin	melanoma	3.73	0.853
MZ1-PC	PAAD	pancreas	pancreas	3.73	0.838
NB1	NB	nervous_system	neuroblastoma	3.75	0.855
TGW	NB	nervous_system	neuroblastoma	3.76	0.897
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	3.82	0.873
COLO-320-HSR	COREAD	digestive_system	large_intestine	3.87	0.898
NBsusSR	UNCLASSIFIED	nervous_system	neuroblastoma	3.89	0.892
DND-41	ALL	blood	T_cell_leukemia	3.93	0.896
NCI-H1963	SCLC	lung	lung_small_cell_carcinoma	3.95	0.899
KELLY	NB	nervous_system	neuroblastoma	3.97	0.891
KCL-22	LCML	blood	chronic_myeloid_leukaemia	4.03	0.909
MHH-NB-11	NB	nervous_system	neuroblastoma	4.04	0.862
KMS-12-BM	MM	blood	myeloma	4.13	0.914
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	4.13	0.877
D-283MED	MB	nervous_system	medulloblastoma	4.15	0.895
MZ7-mel	SKCM	skin	melanoma	4.16	0.874
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	4.21	0.872
BC-3	DLBC	blood	B_cell_lymphoma	4.24	0.901
GOTO	NB	nervous_system	neuroblastoma	4.25	0.862
SHP-77	SCLC	lung	lung_small_cell_carcinoma	4.27	0.9
ST486	UNCLASSIFIED	blood	Burkitt_lymphoma	4.3	0.904
LB996-RCC	KIRC	kidney	kidney	4.3	0.859
JiyoyeP-2003	UNCLASSIFIED	blood	Burkitt_lymphoma	4.31	0.905
SU-DHL-1	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	4.33	0.958
ES6	UNCLASSIFIED	bone	ewings_sarcoma	4.37	0.852
MC116	DLBC	blood	B_cell_lymphoma	4.38	0.975
KM-H2	UNCLASSIFIED	blood	Hodgkin_lymphoma	4.41	0.914
NCI-H847	SCLC	lung	lung_small_cell_carcinoma	4.45	0.924
SW872	UNCLASSIFIED	soft_tissue	soft_tissue_other	4.51	0.903
SCC-3	DLBC	blood	B_cell_lymphoma	4.55	0.96
SUP-HD1	UNCLASSIFIED	blood	Hodgkin_lymphoma	4.56	0.895
GI-1	LGG	nervous_system	glioma	4.57	0.894
MEC-1	UNCLASSIFIED	blood	B_cell_leukemia	4.57	0.882
LC4-1	ALL	blood	lymphoblastic_leukemia	4.58	0.872
EVSA-T	BRCA	breast	breast	4.59	0.915
TE-12	ESCA	aero_digestive_tract	oesophagus	4.64	0.86
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	4.71	0.898
CRO-AP2	DLBC	blood	B_cell_lymphoma	4.75	0.916
HAL-01	ALL	blood	lymphoblastic_leukemia	4.79	0.913
KARPAS-45	ALL	blood	lymphoblastic_leukemia	4.84	0.925
DB	DLBC	blood	B_cell_lymphoma	4.85	0.875
OPM-2	MM	blood	myeloma	4.86	0.93
SK-MEL-1	SKCM	skin	melanoma	4.92	0.918
LOUCY	ALL	blood	lymphoblastic_T_cell_leukaemia	4.94	0.931
D-542MG	GBM	nervous_system	glioma	4.96	0.864
TE-441-T	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	4.97	0.901
RC-K8	DLBC	blood	B_cell_lymphoma	5.01	0.919
SNU-16	STAD	digestive_system	stomach	5.07	0.917
TK	DLBC	blood	B_cell_lymphoma	5.15	0.912
ECC4	UNCLASSIFIED	digestive_system	digestive_system_other	5.22	0.838
JM1	DLBC	blood	B_cell_lymphoma	5.24	0.925
SNU-C1	COREAD	digestive_system	large_intestine	5.29	0.844
EJM	MM	blood	lymphoid_neoplasm_other	5.32	0.931
ES-2	UNCLASSIFIED	urogenital_system	ovary	5.33	0.922
K-562	LCML	blood	chronic_myeloid_leukaemia	5.34	0.905
EW-1	UNCLASSIFIED	bone	ewings_sarcoma	5.39	0.915
HEL	LAML	blood	acute_myeloid_leukaemia	5.43	0.935
NB6	NB	nervous_system	neuroblastoma	5.52	0.872
H9	UNCLASSIFIED	blood	lymphoid_neoplasm_other	5.53	0.937
LS-411N	COREAD	digestive_system	large_intestine	5.59	0.875
PF-382	ALL	blood	lymphoblastic_T_cell_leukaemia	5.64	0.927
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	5.7	0.936
KS-1	GBM	nervous_system	glioma	5.75	0.874
SK-PN-DW	UNCLASSIFIED	bone	ewings_sarcoma	5.8	0.9
KGN	UNCLASSIFIED	urogenital_system	ovary	5.98	0.88
HCC1187	BRCA	breast	breast	6	0.917
OCI-AML3	LAML	blood	acute_myeloid_leukaemia	6.02	0.935
ONS-76	MB	nervous_system	medulloblastoma	6.05	0.898
BE2-M17	NB	nervous_system	neuroblastoma	6.06	0.905
CAL-148	BRCA	breast	breast	6.1	0.923
KU812	LCML	blood	chronic_myeloid_leukaemia	6.11	0.925
MOLT-4	ALL	blood	lymphoblastic_leukemia	6.13	0.947
L-1236	UNCLASSIFIED	blood	Hodgkin_lymphoma	6.14	0.938
UACC-257	SKCM	skin	melanoma	6.2	0.879
EW-22	UNCLASSIFIED	bone	ewings_sarcoma	6.29	0.917
GB-1	GBM	nervous_system	glioma	6.5	0.89
LC-1F	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	6.58	0.878
IST-MEL1	SKCM	skin	melanoma	6.66	0.89
NB(TU)1-10	NB	nervous_system	neuroblastoma	6.7	0.94
ME-1	LAML	blood	acute_myeloid_leukaemia	6.81	0.907
SK-MM-2	MM	blood	myeloma	6.83	0.91
CCRF-CEM	ALL	blood	lymphoblastic_leukemia	6.9	0.948
CMK	LAML	blood	acute_myeloid_leukaemia	6.93	0.947
P30-OHK	ALL	blood	lymphoblastic_leukemia	6.96	0.95
JURL-MK1	LCML	blood	chronic_myeloid_leukaemia	7	0.92
GCIY	STAD	digestive_system	stomach	7.02	0.902
OS-RC-2	KIRC	kidney	kidney	7.09	0.868
NOMO-1	LAML	blood	acute_myeloid_leukaemia	7.11	0.901
NCI-H1385	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	7.12	0.913
NCI-H1155	UNCLASSIFIED	lung	lung_NSCLC_large_cell	7.13	0.954
PL-21	LAML	blood	acute_myeloid_leukaemia	7.14	0.898
CP66-MEL	SKCM	skin	melanoma	7.16	0.902
NCI-H720	UNCLASSIFIED	lung	lung_NSCLC_carcinoid	7.17	0.934
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	7.24	0.938
IST-SL1	SCLC	lung	lung_small_cell_carcinoma	7.24	0.917
JAR	UNCLASSIFIED	urogenital_system	urogenital_system_other	7.3	0.925
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	7.33	0.971
GI-ME-N	NB	nervous_system	neuroblastoma	7.4	0.879
GAK	SKCM	skin	melanoma	7.48	0.93
HCC2157	BRCA	breast	breast	7.61	0.916
NCI-H524	SCLC	lung	lung_small_cell_carcinoma	7.63	0.942
Becker	GBM	nervous_system	glioma	7.67	0.907
RF-48	STAD	digestive_system	stomach	7.73	0.909
Kasumi-3	UNCLASSIFIED	blood	acute_myeloid_leukaemia	7.84	0.892
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	7.88	0.937
CHP-126	NB	nervous_system	neuroblastoma	7.91	0.923
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	7.92	0.92
U-698-M	UNCLASSIFIED	blood	B_cell_leukemia	7.97	0.927
VCaP	PRAD	urogenital_system	prostate	8.01	0.922
SCLC-21H	UNCLASSIFIED	lung	lung_small_cell_carcinoma	8.16	0.918
CTV-1	LAML	blood	acute_myeloid_leukaemia	8.17	0.965
WSU-DLCL2	DLBC	blood	B_cell_lymphoma	8.24	0.959
ES3	UNCLASSIFIED	bone	ewings_sarcoma	8.28	0.922
TE-1	ESCA	aero_digestive_tract	oesophagus	8.35	0.897
AMO-1	MM	blood	haematopoietic_neoplasm_other	8.4	0.954
A101D	SKCM	skin	melanoma	8.71	0.904
SK-N-FI	NB	nervous_system	neuroblastoma	8.73	0.933
SLVL	DLBC	blood	B_cell_lymphoma	8.82	0.925
LB831-BLC	BLCA	urogenital_system	bladder	8.87	0.931
LU-139	SCLC	lung	lung_small_cell_carcinoma	8.9	0.9
MZ2-MEL	SKCM	skin	melanoma	8.93	0.911
LAN-6	NB	nervous_system	neuroblastoma	9.02	0.91
KYM-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	9.06	0.959
H-EMC-SS	UNCLASSIFIED	bone	chondrosarcoma	9.23	0.901
NCI-H2126	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	9.27	0.901
L-363	MM	blood	myeloma	9.45	0.959
TC-71	UNCLASSIFIED	bone	ewings_sarcoma	9.52	0.966
MKL-2	UNCLASSIFIED	skin	Merkel_cell_carcinoma	9.56	0.897
HCC1500	BRCA	breast	breast	9.56	0.932
SK-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	9.79	0.93
HT	DLBC	blood	B_cell_lymphoma	9.82	0.951
TE-8	ESCA	aero_digestive_tract	oesophagus	9.82	0.929
EB-3	UNCLASSIFIED	blood	Burkitt_lymphoma	9.92	0.919
LOXIMVI	SKCM	skin	melanoma	9.92	0.956
Toledo	UNCLASSIFIED	blood	B_cell_lymphoma	9.95	0.92
MPP-89	MESO	lung	mesothelioma	10	0.905
NCI-H1648	LUAD	lung	lung_NSCLC_adenocarcinoma	10	0.931
TK10	KIRC	kidney	kidney	10.1	0.914
SJSA-1	UNCLASSIFIED	bone	bone_other	10.1	0.924
NCI-H1694	SCLC	lung	lung_small_cell_carcinoma	10.3	0.941
LB373-MEL-D	SKCM	skin	melanoma	10.3	0.943
RL95-2	UNCLASSIFIED	urogenital_system	endometrium	10.3	0.942
COR-L279	SCLC	lung	lung_small_cell_carcinoma	10.5	0.959
WSU-NHL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	10.6	0.961
THP-1	LAML	blood	acute_myeloid_leukaemia	10.6	0.958
LB771-HNC	HNSC	aero_digestive_tract	head_and_neck	10.7	0.914
NB69	NB	nervous_system	neuroblastoma	10.7	0.961
SCC-15	HNSC	aero_digestive_tract	head_and_neck	10.8	0.905
KURAMOCHI	UNCLASSIFIED	urogenital_system	ovary	11.2	0.926
KNS-42	LGG	nervous_system	glioma	11.2	0.922
COLO-684	UCEC	urogenital_system	endometrium	11.2	0.93
A253	UNCLASSIFIED	aero_digestive_tract	head_and_neck	11.4	0.949
D-263MG	GBM	nervous_system	glioma	11.4	0.921
RH-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	11.5	0.972
D-336MG	LGG	nervous_system	glioma	11.5	0.914
HD-MY-Z	UNCLASSIFIED	blood	Hodgkin_lymphoma	11.8	0.947
NCI-H1666	LUAD	lung	lung_NSCLC_adenocarcinoma	12	0.937
SF268	GBM	nervous_system	glioma	12	0.939
NCI-H1876	SCLC	lung	lung_small_cell_carcinoma	12.1	0.947
ACN	UNCLASSIFIED	nervous_system	neuroblastoma	12.2	0.95
NCI-H1355	LUAD	lung	lung_NSCLC_adenocarcinoma	12.2	0.902
TGBC1TKB	UNCLASSIFIED	digestive_system	biliary_tract	12.2	0.95
Tera-1	UNCLASSIFIED	urogenital_system	testis	12.3	0.937
NCI-H1522	UNCLASSIFIED	lung	lung_small_cell_carcinoma	12.3	0.968
NCI-H211	SCLC	lung	lung_small_cell_carcinoma	12.3	0.954
MKL-1-subclone-2	UNCLASSIFIED	skin	Merkel_cell_carcinoma	12.4	0.938
EW-3	UNCLASSIFIED	bone	ewings_sarcoma	12.6	0.934
UACC-812	BRCA	breast	breast	12.6	0.955
COLO-800	SKCM	skin	melanoma	12.7	0.954
EW-24	UNCLASSIFIED	bone	ewings_sarcoma	12.7	0.968
SIMA	NB	nervous_system	neuroblastoma	12.8	0.935
CTB-1	DLBC	blood	B_cell_lymphoma	12.8	0.913
DMS-114	SCLC	lung	lung_small_cell_carcinoma	12.8	0.933
Raji	UNCLASSIFIED	blood	Burkitt_lymphoma	12.8	0.96
NCI-H2135	UNCLASSIFIED	lung	lung_NSCLC_not_specified	13.2	0.956
P3HR-1	UNCLASSIFIED	blood	Burkitt_lymphoma	13.2	0.969
HH	UNCLASSIFIED	blood	T_cell_leukemia	13.2	0.918
NCI-H716	COREAD	digestive_system	large_intestine	13.3	0.924
RPMI-8402	ALL	blood	lymphoblastic_T_cell_leukaemia	13.5	0.976
HC-1	UNCLASSIFIED	blood	hairy_cell_leukaemia	13.6	0.959
LC-2-ad	LUAD	lung	lung_NSCLC_adenocarcinoma	13.7	0.951
U-87-MG	GBM	nervous_system	glioma	13.8	0.934
NMC-G1	LGG	nervous_system	glioma	13.8	0.929
YT	ALL	blood	lymphoid_neoplasm_other	13.8	0.976
COLO-824	BRCA	breast	breast	14.4	0.953
NCI-H1770	UNCLASSIFIED	lung	lung_NSCLC_not_specified	14.6	0.973
KP-N-YS	NB	nervous_system	neuroblastoma	14.7	0.941
Hs-445	UNCLASSIFIED	blood	Hodgkin_lymphoma	15	0.967
MFM-223	BRCA	breast	breast	15	0.959
NCI-H2141	SCLC	lung	lung_small_cell_carcinoma	15.1	0.961
ES7	UNCLASSIFIED	bone	ewings_sarcoma	15.1	0.955
NCI-H64	SCLC	lung	lung_small_cell_carcinoma	15.2	0.994
HDLM-2	UNCLASSIFIED	blood	Hodgkin_lymphoma	15.4	0.961
LS-513	COREAD	digestive_system	large_intestine	15.4	0.954
NCI-H747	COREAD	digestive_system	large_intestine	15.5	0.935
MOLT-13	ALL	blood	lymphoblastic_T_cell_leukaemia	15.6	0.975
K5	THCA	thyroid	thyroid	15.6	0.964
DSH1	BLCA	urogenital_system	bladder	15.6	0.965
JVM-3	CLL	blood	lymphoid_neoplasm_other	16	0.958
MS-1	SCLC	lung	lung_small_cell_carcinoma	16.1	0.974
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	16.2	0.975
KARPAS-299	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	16.3	0.982
REH	UNCLASSIFIED	blood	B_cell_leukemia	16.3	0.966
LU-65	UNCLASSIFIED	lung	lung_NSCLC_large_cell	16.4	0.941
NCI-H2081	SCLC	lung	lung_small_cell_carcinoma	16.6	0.954
NB5	NB	nervous_system	neuroblastoma	16.7	0.96
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	17.1	0.971
NCI-H1975	LUAD	lung	lung_NSCLC_adenocarcinoma	17.1	0.947
C2BBe1	COREAD	digestive_system	large_intestine	17.2	0.947
MMAc-SF	SKCM	skin	melanoma	17.3	0.957
SCH	UNCLASSIFIED	digestive_system	stomach	17.3	0.954
BT-474	BRCA	breast	breast	17.3	0.95
NCI-H82	SCLC	lung	lung_small_cell_carcinoma	17.4	0.969
EB2	UNCLASSIFIED	blood	Burkitt_lymphoma	18.1	0.975
DMS-153	UNCLASSIFIED	lung	lung_small_cell_carcinoma	18.2	0.919
LU-165	SCLC	lung	lung_small_cell_carcinoma	18.2	0.952
L-428	UNCLASSIFIED	blood	Hodgkin_lymphoma	18.3	0.979
NCI-H23	LUAD	lung	lung_NSCLC_adenocarcinoma	18.4	0.966
RL	DLBC	blood	B_cell_lymphoma	18.5	0.974
NCI-H1869	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	18.7	0.952
NCI-H1299	UNCLASSIFIED	lung	lung_NSCLC_large_cell	18.8	0.943
NCI-H2196	SCLC	lung	lung_small_cell_carcinoma	19.2	0.961
LNCaP-Clone-FGC	PRAD	urogenital_system	prostate	19.5	0.952
MSTO-211H	MESO	lung	mesothelioma	19.6	0.977
P31-FUJ	LAML	blood	acute_myeloid_leukaemia	20.2	0.995
NCI-H748	SCLC	lung	lung_small_cell_carcinoma	20.5	0.942
SNU-5	STAD	digestive_system	stomach	20.6	0.966
TF-1	UNCLASSIFIED	blood	acute_myeloid_leukaemia	20.6	0.969
MN-60	UNCLASSIFIED	blood	B_cell_leukemia	20.7	0.964
NB10	NB	nervous_system	neuroblastoma	20.8	0.971
HCC-33	SCLC	lung	lung_small_cell_carcinoma	20.8	0.967
ECC12	UNCLASSIFIED	digestive_system	stomach	20.9	0.945
D-502MG	LGG	nervous_system	glioma	21	0.92
ROS-50	UNCLASSIFIED	blood	B_cell_leukemia	21.1	0.943
SBC-1	SCLC	lung	lung_small_cell_carcinoma	21.2	0.973
GRANTA-519	DLBC	blood	B_cell_lymphoma	21.6	0.98
NB12	NB	nervous_system	neuroblastoma	21.9	0.939
HCC1599	BRCA	breast	breast	22	0.956
NCI-H1836	SCLC	lung	lung_small_cell_carcinoma	22.8	0.961
EC-GI-10	ESCA	aero_digestive_tract	oesophagus	22.9	0.972
NCI-H69	SCLC	lung	lung_small_cell_carcinoma	23.1	0.961
NCI-H2227	SCLC	lung	lung_small_cell_carcinoma	23.3	0.959
COR-L95	SCLC	lung	lung_small_cell_carcinoma	23.8	0.957
AM-38	GBM	nervous_system	glioma	23.8	0.97
EW-13	UNCLASSIFIED	bone	ewings_sarcoma	24.6	0.963
IMR-5	NB	nervous_system	neuroblastoma	26.1	0.99
NCI-H1395	LUAD	lung	lung_NSCLC_adenocarcinoma	26.4	0.947
LB1047-RCC	KIRC	kidney	kidney	26.7	0.964
ARH-77	MM	blood	myeloma	27.1	0.979
RPMI-6666	UNCLASSIFIED	blood	Hodgkin_lymphoma	27.1	0.958
ETK-1	UNCLASSIFIED	digestive_system	biliary_tract	27.1	0.964
NCI-H719	UNCLASSIFIED	lung	lung_small_cell_carcinoma	27.8	0.972
EW-11	UNCLASSIFIED	bone	ewings_sarcoma	27.9	0.951
NCI-H209	SCLC	lung	lung_small_cell_carcinoma	28.3	0.97
RS4-11	ALL	blood	leukemia	29.1	0.985
CA46	UNCLASSIFIED	blood	Burkitt_lymphoma	29.2	0.971
ES5	UNCLASSIFIED	bone	ewings_sarcoma	29.8	0.965
NCI-H1304	SCLC	lung	lung_small_cell_carcinoma	30.8	0.971
COLO-668	SCLC	lung	lung_small_cell_carcinoma	31.4	0.978
J-RT3-T3-5	UNCLASSIFIED	blood	lymphoblastic_T_cell_leukaemia	32.4	0.99
TALL-1	ALL	blood	lymphoblastic_T_cell_leukaemia	32.5	0.983
MDST8	COREAD	digestive_system	large_intestine	32.8	0.98
COLO-829	SKCM	skin	melanoma	33.4	0.944
DG-75	UNCLASSIFIED	blood	Burkitt_lymphoma	33.6	0.979
MC-CAR	MM	blood	haematopoietic_neoplasm_other	34	0.989
LB647-SCLC	SCLC	lung	lung_small_cell_carcinoma	35.1	0.971
SW962	UNCLASSIFIED	urogenital_system	urogenital_system_other	35.9	0.963
OMC-1	CESC	urogenital_system	cervix	36	0.978
KNS-81-FD	LGG	nervous_system	glioma	37.1	0.956
ES4	UNCLASSIFIED	bone	ewings_sarcoma	37.5	0.971
IM-9	MM	blood	myeloma	39.1	0.992
KY821	LAML	blood	leukemia	39.3	0.992
KASUMI-1	LAML	blood	acute_myeloid_leukaemia	39.5	0.983
NCI-H2107	UNCLASSIFIED	lung	lung_small_cell_carcinoma	39.7	0.971
SKM-1	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	39.9	0.975
TUR	DLBC	blood	B_cell_lymphoma	40.2	0.989
CL-11	COREAD	digestive_system	large_intestine	40.8	0.974
NCI-H1417	SCLC	lung	lung_small_cell_carcinoma	40.9	0.97
BB49-HNC	HNSC	aero_digestive_tract	head_and_neck	41.1	0.955
NCI-H187	SCLC	lung	lung_small_cell_carcinoma	41.7	0.977
TE-6	ESCA	aero_digestive_tract	oesophagus	42.1	0.972
NCI-H446	SCLC	lung	lung_small_cell_carcinoma	43.1	0.979
SUP-T1	ALL	blood	lymphoblastic_T_cell_leukaemia	44.7	0.99
JVM-2	CLL	blood	lymphoid_neoplasm_other	44.8	0.97
LU-134-A	SCLC	lung	lung_small_cell_carcinoma	45.1	0.981
CPC-N	SCLC	lung	lung_small_cell_carcinoma	45.2	0.979
Mo-T	UNCLASSIFIED	blood	hairy_cell_leukaemia	45.6	0.983
MLMA	UNCLASSIFIED	blood	hairy_cell_leukaemia	46.5	0.985
NB17	NB	nervous_system	neuroblastoma	47	0.976
