Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
MSTO-211H	MESO	lung	mesothelioma	2.94	0.923
PF-382	ALL	blood	lymphoblastic_T_cell_leukaemia	2.96	0.93
SW962	UNCLASSIFIED	urogenital_system	urogenital_system_other	2.99	0.877
KINGS-1	LGG	nervous_system	glioma	3.01	0.863
ECC4	UNCLASSIFIED	digestive_system	digestive_system_other	3.08	0.851
LC4-1	ALL	blood	lymphoblastic_leukemia	3.1	0.896
NAMALWA	UNCLASSIFIED	blood	Burkitt_lymphoma	3.11	0.941
ES4	UNCLASSIFIED	bone	ewings_sarcoma	3.14	0.891
NCI-H1869	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	3.17	0.895
SH-4	SKCM	skin	melanoma	3.2	0.851
JURL-MK1	LCML	blood	chronic_myeloid_leukaemia	3.26	0.915
KNS-42	LGG	nervous_system	glioma	3.45	0.892
KURAMOCHI	UNCLASSIFIED	urogenital_system	ovary	3.47	0.897
UACC-812	BRCA	breast	breast	3.47	0.924
KU812	LCML	blood	chronic_myeloid_leukaemia	3.55	0.935
NB13	NB	nervous_system	neuroblastoma	3.56	0.94
IST-MES1	MESO	lung	mesothelioma	3.56	0.918
ETK-1	UNCLASSIFIED	digestive_system	biliary_tract	3.57	0.902
MOLT-4	ALL	blood	lymphoblastic_leukemia	3.58	0.956
SNU-C2B	COREAD	digestive_system	large_intestine	3.61	0.883
KM12	COREAD	digestive_system	large_intestine	3.64	0.909
SKM-1	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	3.76	0.909
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	3.8	0.963
CGTH-W-1	THCA	thyroid	thyroid	3.82	0.925
NMC-G1	LGG	nervous_system	glioma	3.84	0.896
BB49-HNC	HNSC	aero_digestive_tract	head_and_neck	3.99	0.88
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	4.01	0.926
MC116	DLBC	blood	B_cell_lymphoma	4.02	0.997
WIL2-NS	UNCLASSIFIED	blood	lymphoid_neoplasm_other	4.04	0.962
NK-92MI	UNCLASSIFIED	blood	lymphoid_neoplasm_other	4.12	0.94
MV-4-11	UNCLASSIFIED	blood	leukemia	4.15	0.962
NB10	NB	nervous_system	neuroblastoma	4.22	0.934
KARPAS-45	ALL	blood	lymphoblastic_leukemia	4.22	0.96
ARH-77	MM	blood	myeloma	4.28	0.937
NCI-H524	SCLC	lung	lung_small_cell_carcinoma	4.28	0.949
NB7	NB	nervous_system	neuroblastoma	4.35	0.926
A388	UNCLASSIFIED	skin	skin_other	4.75	0.918
KELLY	NB	nervous_system	neuroblastoma	4.83	0.952
Ramos-2G6-4C10	UNCLASSIFIED	blood	Burkitt_lymphoma	5.13	0.964
NBsusSR	UNCLASSIFIED	nervous_system	neuroblastoma	5.16	0.957
TE-6	ESCA	aero_digestive_tract	oesophagus	5.19	0.921
P32-ISH	UNCLASSIFIED	blood	Burkitt_lymphoma	5.33	0.987
SU-DHL-1	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	5.33	0.994
RPMI-8402	ALL	blood	lymphoblastic_T_cell_leukaemia	5.34	0.969
SCC-3	DLBC	blood	B_cell_lymphoma	5.47	0.994
KLE	UCEC	urogenital_system	endometrium	5.47	0.887
BE2-M17	NB	nervous_system	neuroblastoma	5.57	0.941
NCI-H510A	SCLC	lung	lung_small_cell_carcinoma	5.6	0.957
SF268	GBM	nervous_system	glioma	5.61	0.935
LB647-SCLC	SCLC	lung	lung_small_cell_carcinoma	5.68	0.931
LOXIMVI	SKCM	skin	melanoma	5.7	0.962
BB65-RCC	KIRC	kidney	kidney	5.7	0.927
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	5.87	0.962
NB(TU)1-10	NB	nervous_system	neuroblastoma	5.88	0.967
QIMR-WIL	LAML	blood	acute_myeloid_leukaemia	5.92	0.952
KOPN-8	UNCLASSIFIED	blood	B_cell_leukemia	5.94	0.97
SNU-1	STAD	digestive_system	stomach	5.95	0.944
ES3	UNCLASSIFIED	bone	ewings_sarcoma	5.98	0.942
Daudi	UNCLASSIFIED	blood	Burkitt_lymphoma	6.03	0.967
RF-48	STAD	digestive_system	stomach	6.16	0.935
EB-3	UNCLASSIFIED	blood	Burkitt_lymphoma	6.19	0.931
BL-41	UNCLASSIFIED	blood	Burkitt_lymphoma	6.28	0.988
HCC1599	BRCA	breast	breast	6.41	0.934
LS-123	COREAD	digestive_system	large_intestine	6.43	0.915
HAL-01	ALL	blood	lymphoblastic_leukemia	6.48	0.968
MPP-89	MESO	lung	mesothelioma	6.68	0.921
CTB-1	DLBC	blood	B_cell_lymphoma	6.73	0.915
DEL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	6.81	0.985
MLMA	UNCLASSIFIED	blood	hairy_cell_leukaemia	6.85	0.953
COLO-800	SKCM	skin	melanoma	6.91	0.958
HCE-4	ESCA	aero_digestive_tract	oesophagus	6.96	0.975
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	6.97	0.967
PSN1	PAAD	pancreas	pancreas	7.01	0.977
SHP-77	SCLC	lung	lung_small_cell_carcinoma	7.16	0.97
EVSA-T	BRCA	breast	breast	7.18	0.975
D-247MG	GBM	nervous_system	glioma	7.25	0.918
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	7.27	0.95
D-283MED	MB	nervous_system	medulloblastoma	7.37	0.968
Tera-1	UNCLASSIFIED	urogenital_system	testis	7.38	0.945
BOKU	UNCLASSIFIED	urogenital_system	cervix	7.5	0.935
TGBC1TKB	UNCLASSIFIED	digestive_system	biliary_tract	7.62	0.959
NCI-H1694	SCLC	lung	lung_small_cell_carcinoma	7.69	0.959
NCI-H1299	UNCLASSIFIED	lung	lung_NSCLC_large_cell	7.75	0.935
H9	UNCLASSIFIED	blood	lymphoid_neoplasm_other	7.76	0.983
NCI-H1355	LUAD	lung	lung_NSCLC_adenocarcinoma	7.87	0.915
TC-71	UNCLASSIFIED	bone	ewings_sarcoma	7.88	0.982
NCI-H1395	LUAD	lung	lung_NSCLC_adenocarcinoma	7.89	0.926
SIG-M5	LAML	blood	acute_myeloid_leukaemia	7.9	0.994
MRK-nu-1	BRCA	breast	breast	7.97	0.97
JVM-2	CLL	blood	lymphoid_neoplasm_other	8.05	0.936
WSU-NHL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	8.07	0.976
COLO-320-HSR	COREAD	digestive_system	large_intestine	8.1	0.977
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	8.23	0.995
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	8.24	0.969
NCI-H720	UNCLASSIFIED	lung	lung_NSCLC_carcinoid	8.27	0.971
LB771-HNC	HNSC	aero_digestive_tract	head_and_neck	8.27	0.936
P30-OHK	ALL	blood	lymphoblastic_leukemia	8.3	0.983
MONO-MAC-6	LAML	blood	acute_myeloid_leukaemia	8.36	0.955
OVCAR-4	OV	urogenital_system	ovary	8.37	0.915
K5	THCA	thyroid	thyroid	8.38	0.967
GOTO	NB	nervous_system	neuroblastoma	8.47	0.947
NCI-H64	SCLC	lung	lung_small_cell_carcinoma	8.72	0.996
MHH-PREB-1	UNCLASSIFIED	blood	B_cell_leukemia	8.8	0.976
JM1	DLBC	blood	B_cell_lymphoma	8.92	0.981
DND-41	ALL	blood	T_cell_leukemia	9.01	0.978
LB2518-MEL	SKCM	skin	melanoma	9.16	0.959
TF-1	UNCLASSIFIED	blood	acute_myeloid_leukaemia	9.21	0.966
EHEB	CLL	blood	lymphoid_neoplasm_other	9.3	0.923
NCI-H2171	SCLC	lung	lung_small_cell_carcinoma	9.47	0.981
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	9.5	0.994
JAR	UNCLASSIFIED	urogenital_system	urogenital_system_other	9.51	0.968
KE-37	ALL	blood	lymphoblastic_leukemia	9.61	0.994
WSU-DLCL2	DLBC	blood	B_cell_lymphoma	9.62	0.986
HT-144	SKCM	skin	melanoma	9.69	0.955
NCI-H220	UNCLASSIFIED	lung	lung_small_cell_carcinoma	9.78	0.958
ES8	UNCLASSIFIED	bone	ewings_sarcoma	9.82	0.975
SW684	UNCLASSIFIED	soft_tissue	fibrosarcoma	9.82	0.923
SK-PN-DW	UNCLASSIFIED	bone	ewings_sarcoma	9.85	0.963
NCI-H211	SCLC	lung	lung_small_cell_carcinoma	9.89	0.97
DSH1	BLCA	urogenital_system	bladder	10	0.972
EJM	MM	blood	lymphoid_neoplasm_other	10.1	0.986
J-RT3-T3-5	UNCLASSIFIED	blood	lymphoblastic_T_cell_leukaemia	10.2	0.982
OCUB-M	BRCA	breast	breast	10.3	0.983
SK-NEP-1	UNCLASSIFIED	kidney	kidney	10.3	0.974
A3-KAW	DLBC	blood	B_cell_lymphoma	10.4	0.991
L-540	UNCLASSIFIED	blood	Hodgkin_lymphoma	10.4	0.981
OCI-M1	LAML	blood	acute_myeloid_leukaemia	10.5	0.995
TGW	NB	nervous_system	neuroblastoma	10.5	0.984
KP-N-YN	NB	nervous_system	neuroblastoma	10.5	0.958
IST-MEL1	SKCM	skin	melanoma	10.7	0.951
NCI-H2126	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	11	0.944
JiyoyeP-2003	UNCLASSIFIED	blood	Burkitt_lymphoma	11.1	0.983
REH	UNCLASSIFIED	blood	B_cell_leukemia	11.1	0.974
AMO-1	MM	blood	haematopoietic_neoplasm_other	11.1	0.985
ES1	UNCLASSIFIED	bone	ewings_sarcoma	11.2	0.972
LC-1F	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	11.2	0.944
CCRF-CEM	ALL	blood	lymphoblastic_leukemia	11.2	0.988
NB17	NB	nervous_system	neuroblastoma	11.3	0.957
HCC2218	BRCA	breast	breast	11.7	0.948
P31-FUJ	LAML	blood	acute_myeloid_leukaemia	11.7	0.996
YT	ALL	blood	lymphoid_neoplasm_other	11.7	0.987
ALL-PO	ALL	blood	lymphoblastic_leukemia	11.8	0.966
BC-1	DLBC	blood	B_cell_lymphoma	11.8	0.987
NB14	NB	nervous_system	neuroblastoma	12	0.978
HC-1	UNCLASSIFIED	blood	hairy_cell_leukaemia	12	0.976
KMS-12-BM	MM	blood	myeloma	12.2	0.99
OCI-AML3	LAML	blood	acute_myeloid_leukaemia	12.2	0.987
A253	UNCLASSIFIED	aero_digestive_tract	head_and_neck	12.5	0.976
SU-DHL-8	DLBC	blood	B_cell_lymphoma	12.5	0.98
K052	UNCLASSIFIED	blood	acute_myeloid_leukaemia	12.6	0.993
NB4	LAML	blood	acute_myeloid_leukaemia	12.7	0.991
Toledo	UNCLASSIFIED	blood	B_cell_lymphoma	12.8	0.96
LOUCY	ALL	blood	lymphoblastic_T_cell_leukaemia	12.9	0.992
DU-4475	BRCA	breast	breast	12.9	0.992
ES-2	UNCLASSIFIED	urogenital_system	ovary	12.9	0.986
ES6	UNCLASSIFIED	bone	ewings_sarcoma	13.1	0.954
NCI-H847	SCLC	lung	lung_small_cell_carcinoma	13.1	0.993
NCI-H446	SCLC	lung	lung_small_cell_carcinoma	13.7	0.969
NB6	NB	nervous_system	neuroblastoma	13.8	0.956
L-1236	UNCLASSIFIED	blood	Hodgkin_lymphoma	13.8	0.99
THP-1	LAML	blood	acute_myeloid_leukaemia	13.8	0.985
LB831-BLC	BLCA	urogenital_system	bladder	13.9	0.974
Calu-6	LUAD	lung	lung_NSCLC_adenocarcinoma	14	0.963
KY821	LAML	blood	leukemia	14	0.988
TE-9	ESCA	aero_digestive_tract	oesophagus	14	0.972
TE-5	ESCA	aero_digestive_tract	oesophagus	14	0.963
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	14	0.991
RKO	COREAD	digestive_system	large_intestine	14.2	0.983
JSC-1	DLBC	blood	B_cell_lymphoma	14.3	0.978
JJN-3	MM	blood	haematopoietic_neoplasm_other	14.3	0.993
CHP-126	NB	nervous_system	neuroblastoma	14.3	0.974
Hs-445	UNCLASSIFIED	blood	Hodgkin_lymphoma	14.6	0.984
HEL	LAML	blood	acute_myeloid_leukaemia	14.6	0.992
SF539	LGG	nervous_system	glioma	14.7	0.986
NCI-H1522	UNCLASSIFIED	lung	lung_small_cell_carcinoma	14.7	0.988
RH-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	14.7	0.992
NCI-H1417	SCLC	lung	lung_small_cell_carcinoma	14.7	0.962
OPM-2	MM	blood	myeloma	14.8	0.993
NCI-H719	UNCLASSIFIED	lung	lung_small_cell_carcinoma	14.8	0.974
8-MG-BA	GBM	nervous_system	glioma	15	0.983
SK-MEL-1	SKCM	skin	melanoma	15	0.989
CESS	LAML	blood	acute_myeloid_leukaemia	15	0.99
TE-441-T	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	15.1	0.981
L-363	MM	blood	myeloma	15.2	0.99
KARPAS-299	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	15.2	0.992
OCI-LY-19	DLBC	blood	B_cell_lymphoma	15.3	0.985
SUP-HD1	UNCLASSIFIED	blood	Hodgkin_lymphoma	15.3	0.982
NCI-H1155	UNCLASSIFIED	lung	lung_NSCLC_large_cell	15.3	0.993
CMK	LAML	blood	acute_myeloid_leukaemia	15.4	0.991
EC-GI-10	ESCA	aero_digestive_tract	oesophagus	15.4	0.979
KYM-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	15.5	0.991
IST-SL1	SCLC	lung	lung_small_cell_carcinoma	15.5	0.976
NEC8	UNCLASSIFIED	urogenital_system	testis	15.6	0.991
HD-MY-Z	UNCLASSIFIED	blood	Hodgkin_lymphoma	15.7	0.978
RL	DLBC	blood	B_cell_lymphoma	15.7	0.985
RPMI-8226	MM	blood	myeloma	15.7	0.99
COR-L279	SCLC	lung	lung_small_cell_carcinoma	15.8	0.988
DMS-153	UNCLASSIFIED	lung	lung_small_cell_carcinoma	15.8	0.942
KARPAS-620	MM	blood	haematopoietic_neoplasm_other	16	0.991
NKM-1	LAML	blood	acute_myeloid_leukaemia	16	0.977
KP-N-YS	NB	nervous_system	neuroblastoma	16	0.968
IMR-5	NB	nervous_system	neuroblastoma	16.1	0.992
SK-N-FI	NB	nervous_system	neuroblastoma	16.1	0.98
HSC-39	STAD	digestive_system	stomach	16.3	0.991
CRO-AP2	DLBC	blood	B_cell_lymphoma	16.4	0.99
EW-1	UNCLASSIFIED	bone	ewings_sarcoma	16.5	0.986
KMOE-2	LAML	blood	acute_myeloid_leukaemia	16.5	0.988
EB2	UNCLASSIFIED	blood	Burkitt_lymphoma	16.5	0.987
HCC1187	BRCA	breast	breast	16.7	0.984
MOLT-13	ALL	blood	lymphoblastic_T_cell_leukaemia	16.7	0.99
CPC-N	SCLC	lung	lung_small_cell_carcinoma	16.7	0.973
ML-2	LAML	blood	acute_myeloid_leukaemia	16.9	0.989
LP-1	MM	blood	myeloma	17	0.993
GRANTA-519	DLBC	blood	B_cell_lymphoma	17.1	0.988
OMC-1	CESC	urogenital_system	cervix	17.3	0.977
MC-CAR	MM	blood	haematopoietic_neoplasm_other	17.4	0.989
LB373-MEL-D	SKCM	skin	melanoma	17.6	0.982
HH	UNCLASSIFIED	blood	T_cell_leukemia	17.8	0.957
BC-3	DLBC	blood	B_cell_lymphoma	17.9	0.989
EW-18	UNCLASSIFIED	bone	ewings_sarcoma	18.1	0.976
VCaP	PRAD	urogenital_system	prostate	18.1	0.979
KM-H2	UNCLASSIFIED	blood	Hodgkin_lymphoma	18.2	0.993
OCI-AML5	LAML	blood	acute_myeloid_leukaemia	18.3	0.988
BT-474	BRCA	breast	breast	18.3	0.972
NCI-H2141	SCLC	lung	lung_small_cell_carcinoma	18.5	0.983
CAL-148	BRCA	breast	breast	18.6	0.988
KG-1	LAML	blood	acute_myeloid_leukaemia	18.7	0.99
IM-9	MM	blood	myeloma	18.8	0.992
SBC-1	SCLC	lung	lung_small_cell_carcinoma	18.8	0.984
NCI-H1963	SCLC	lung	lung_small_cell_carcinoma	19	0.992
NOMO-1	LAML	blood	acute_myeloid_leukaemia	19.1	0.972
KARPAS-422	DLBC	blood	B_cell_lymphoma	19.2	0.983
HL-60	LAML	blood	acute_myeloid_leukaemia	19.3	0.99
HDLM-2	UNCLASSIFIED	blood	Hodgkin_lymphoma	19.3	0.984
TUR	DLBC	blood	B_cell_lymphoma	19.3	0.988
EW-22	UNCLASSIFIED	bone	ewings_sarcoma	19.4	0.985
NCI-H1581	UNCLASSIFIED	lung	lung_NSCLC_large_cell	19.5	0.989
RS4-11	ALL	blood	leukemia	19.6	0.989
KP-N-RT-BM-1	NB	nervous_system	neuroblastoma	19.6	0.961
NCI-H1836	SCLC	lung	lung_small_cell_carcinoma	19.7	0.975
NCI-H209	SCLC	lung	lung_small_cell_carcinoma	19.8	0.978
KASUMI-1	LAML	blood	acute_myeloid_leukaemia	19.9	0.983
AM-38	GBM	nervous_system	glioma	19.9	0.981
MS-1	SCLC	lung	lung_small_cell_carcinoma	20	0.991
GI-ME-N	NB	nervous_system	neuroblastoma	20	0.958
NCI-H82	SCLC	lung	lung_small_cell_carcinoma	20.1	0.987
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	20.2	0.988
NCI-H226	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	20.3	0.979
MOLP-8	MM	blood	myeloma	20.6	0.986
SNU-16	STAD	digestive_system	stomach	20.7	0.991
EW-3	UNCLASSIFIED	bone	ewings_sarcoma	21.4	0.974
NCI-H1770	UNCLASSIFIED	lung	lung_NSCLC_not_specified	21.5	0.992
SUP-T1	ALL	blood	lymphoblastic_T_cell_leukaemia	21.6	0.99
SJSA-1	UNCLASSIFIED	bone	bone_other	21.6	0.975
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	21.6	0.988
L-428	UNCLASSIFIED	blood	Hodgkin_lymphoma	21.9	0.992
LAN-6	NB	nervous_system	neuroblastoma	21.9	0.971
EW-11	UNCLASSIFIED	bone	ewings_sarcoma	22	0.964
TALL-1	ALL	blood	lymphoblastic_T_cell_leukaemia	22.1	0.988
MN-60	UNCLASSIFIED	blood	B_cell_leukemia	22.2	0.982
HT	DLBC	blood	B_cell_lymphoma	22.3	0.99
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	22.5	0.985
SCLC-21H	UNCLASSIFIED	lung	lung_small_cell_carcinoma	22.8	0.98
no-10	LGG	nervous_system	glioma	22.8	0.97
EKVX	LUAD	lung	lung_NSCLC_adenocarcinoma	22.8	0.909
A4-Fuk	DLBC	blood	B_cell_lymphoma	22.9	0.982
COR-L88	SCLC	lung	lung_small_cell_carcinoma	23.1	0.973
U-698-M	UNCLASSIFIED	blood	B_cell_leukemia	23.2	0.985
Raji	UNCLASSIFIED	blood	Burkitt_lymphoma	23.3	0.989
CA46	UNCLASSIFIED	blood	Burkitt_lymphoma	23.4	0.981
DB	DLBC	blood	B_cell_lymphoma	23.4	0.977
NCI-H1092	SCLC	lung	lung_small_cell_carcinoma	23.4	0.985
MDST8	COREAD	digestive_system	large_intestine	23.9	0.986
ACN	UNCLASSIFIED	nervous_system	neuroblastoma	24.1	0.986
A101D	SKCM	skin	melanoma	24.3	0.971
HCC-33	SCLC	lung	lung_small_cell_carcinoma	24.5	0.985
DMS-114	SCLC	lung	lung_small_cell_carcinoma	24.6	0.976
RCC10RGB	KIRC	kidney	kidney	24.7	0.924
MKL-1-subclone-2	UNCLASSIFIED	skin	Merkel_cell_carcinoma	24.8	0.98
HCC2157	BRCA	breast	breast	24.8	0.983
SIMA	NB	nervous_system	neuroblastoma	25.3	0.978
ES7	UNCLASSIFIED	bone	ewings_sarcoma	25.3	0.985
VAL	DLBC	blood	B_cell_lymphoma	25.3	0.986
GAK	SKCM	skin	melanoma	25.4	0.989
LU-65	UNCLASSIFIED	lung	lung_NSCLC_large_cell	25.5	0.975
EW-13	UNCLASSIFIED	bone	ewings_sarcoma	25.8	0.98
ROS-50	UNCLASSIFIED	blood	B_cell_leukemia	26	0.97
SNU-C1	COREAD	digestive_system	large_intestine	26.4	0.958
NCI-H1838	LUAD	lung	lung_NSCLC_adenocarcinoma	26.6	0.974
HCC1500	BRCA	breast	breast	26.6	0.985
NCI-H1666	LUAD	lung	lung_NSCLC_adenocarcinoma	26.8	0.981
DJM-1	UNCLASSIFIED	skin	skin_other	26.9	0.988
NCI-H526	SCLC	lung	lung_small_cell_carcinoma	27	0.99
GR-ST	ALL	blood	lymphoblastic_leukemia	27.5	0.975
NCI-H1876	SCLC	lung	lung_small_cell_carcinoma	27.7	0.987
NCI-H23	LUAD	lung	lung_NSCLC_adenocarcinoma	27.9	0.988
COLO-829	SKCM	skin	melanoma	27.9	0.959
UACC-257	SKCM	skin	melanoma	28	0.973
Mo-T	UNCLASSIFIED	blood	hairy_cell_leukaemia	28.1	0.986
DG-75	UNCLASSIFIED	blood	Burkitt_lymphoma	28.5	0.987
SK-MEL-2	SKCM	skin	melanoma	28.5	0.986
SK-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	28.5	0.984
MMAc-SF	SKCM	skin	melanoma	28.8	0.985
MFM-223	BRCA	breast	breast	29	0.989
JVM-3	CLL	blood	lymphoid_neoplasm_other	29	0.987
NCI-H748	SCLC	lung	lung_small_cell_carcinoma	29.1	0.972
SLVL	DLBC	blood	B_cell_lymphoma	29.5	0.985
SNU-5	STAD	digestive_system	stomach	29.8	0.987
NCI-H716	COREAD	digestive_system	large_intestine	30.1	0.974
NCI-H1304	SCLC	lung	lung_small_cell_carcinoma	30.5	0.984
NCI-H69	SCLC	lung	lung_small_cell_carcinoma	30.6	0.982
MZ7-mel	SKCM	skin	melanoma	30.7	0.987
ONS-76	MB	nervous_system	medulloblastoma	30.8	0.984
MHH-NB-11	NB	nervous_system	neuroblastoma	30.9	0.983
MZ2-MEL	SKCM	skin	melanoma	31.1	0.979
COLO-668	SCLC	lung	lung_small_cell_carcinoma	31.2	0.989
NCI-H2135	UNCLASSIFIED	lung	lung_NSCLC_not_specified	31.3	0.991
LS-513	COREAD	digestive_system	large_intestine	31.3	0.987
LB2241-RCC	KIRC	kidney	kidney	31.8	0.982
LU-134-A	SCLC	lung	lung_small_cell_carcinoma	31.8	0.986
NCI-H1385	UNCLASSIFIED	lung	lung_NSCLC_squamous_cell_carcinoma	31.9	0.986
COLO-684	UCEC	urogenital_system	endometrium	32.4	0.983
NCI-H2196	SCLC	lung	lung_small_cell_carcinoma	32.5	0.987
U-87-MG	GBM	nervous_system	glioma	32.6	0.98
COLO-824	BRCA	breast	breast	32.7	0.988
ES5	UNCLASSIFIED	bone	ewings_sarcoma	34.2	0.982
