ccle	outlier	tissue	ic50
NCI_H23	2264	LUNG	26.2
MDST8	1313	LARGE_INTESTINE	26.3
UACC_812	9782	BREAST	26.5
CA46	2726	DLBC	26.9
NCI_H1385	21906	LUNG	27.2
SCLC_21H	14354	LUNG	28.2
SKM_1	731	LCLL	28.8
JVM_3	1222	LCLL	29
EC_GI_10	4318	OESOPHAGUS	29.2
SJSA_1	1112	BONE_AND_SOFT_TISSUE	29.5
TE_8	3840	OESOPHAGUS	29.8
NCI_H1395	1857	LUNG	30.2
OS_RC_2	1390	KIDNEY	31.1
TE_9	962	OESOPHAGUS	31.5
MHH_NB_11	38432	CENTRAL_NERVOUS_SYSTEM	32.1
Calu_6	1156	LUNG	32.5
KP_N_YN	4239	CENTRAL_NERVOUS_SYSTEM	33
NCI_H1838	1509	LUNG	33.1
CL_11	1045	LARGE_INTESTINE	33.3
NCI_H1092	3599	LUNG	33.6
CAS_1	1586	CENTRAL_NERVOUS_SYSTEM	33.8
NCI_H1869	2447	LUNG	34
HCC2157	1383	BREAST	34.5
NCI_H1666	1473	LUNG	34.9
TE_1	996	OESOPHAGUS	35.7
MDA_MB_134_VI	8586	BREAST	36.1
NCI_H716	1647	LARGE_INTESTINE	37.8
RCC10RGB	1641	KIDNEY	38
NCI_H2081	3414	LUNG	38.1
BT_474	945	BREAST	38.7
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	41.3
KLE	1367	CERVICAL	42.7
NCI_H1436	2328	LUNG	44.8
CW_2	1588	LARGE_INTESTINE	47.4
TE_6	2551	OESOPHAGUS	49.3
EHEB	1638	LCLL	49.6
SCC_15	569	UPPER_AERODIGESTIVE_TRACT	57.3
SNB75	574	CENTRAL_NERVOUS_SYSTEM	58.1
LC_1F	1389	LUNG	58.6
NCI_H1355	1337	LUNG	62.3
COLO_829	1027	SKIN	66.4
EKVX	862	LUNG	160
