drug:tissue_type	spearman corr val	spearman p-val	adjusted spearman p-val	pearson corr val	pearson p-val	adjusted pearson p-val	
A-770041_LCLL	-0.155668016	0.343994041	0.343994041	-0.252074881	0.121596059	0.303990148	
A-770041_LUNG	0.231372549	0.181112746	0.226390933	0.189091144	0.276638244	0.419126471	
A-770041_MM	-0.536363636	0.088953418	0.148255697	-0.257413712	0.444768823	0.444768823	
Afatinib_BILIARY	0.172706707	0.40905696	0.790105953	0.100162447	0.633808281	0.85110472	
Afatinib_BONE_AND_SOFT_TISSUE	-0.13321316	0.438615941	0.790105953	-0.056755623	0.742321318	0.85110472	
Afatinib_BREAST	0.251736072	0.050336905	0.658631401	0.256361517	0.04612039	0.55519691	
Afatinib_CENTRAL_NERVOUS_SYSTEM	0.068063065	0.590080089	0.876527733	-0.145262231	0.248273191	0.842059573	
Afatinib_CERVICAL	0.232761445	0.368632493	0.790105953	0.29727258	0.246554413	0.842059573	
Afatinib_DLBC	0.005477682	0.967448207	0.978327154	-0.053599246	0.689450297	0.85110472	
Afatinib_KIDNEY	0.329645541	0.196316826	0.790105953	0.285922851	0.265913549	0.842059573	
Afatinib_LARGE_INTESTINE	-0.062185969	0.691995579	0.876527733	0.047660236	0.761514749	0.85110472	
Afatinib_LCLL	0.057560537	0.61204598	0.876527733	0.016282038	0.886015005	0.886015005	
Afatinib_LUNG	0.135694958	0.069329621	0.658631401	0.113562878	0.129038079	0.817241168	
Afatinib_MM	-0.162992926	0.457429763	0.790105953	-0.098518621	0.654715536	0.85110472	
Afatinib_OESOPHAGUS	-0.152029225	0.414248521	0.790105953	-0.058337988	0.755245842	0.85110472	
Afatinib_OVARY	0.276323506	0.139372868	0.790105953	0.349366165	0.05844178	0.55519691	
Afatinib_PANCREAS	-0.227839864	0.333988997	0.790105953	-0.131303393	0.581088728	0.85110472	
Afatinib_SKIN	-0.163364915	0.2835985	0.790105953	-0.147921399	0.332190011	0.85110472	
Afatinib_STOMACH	-0.01974894	0.944306898	0.978327154	0.101884912	0.717869327	0.85110472	
Afatinib_THYROID	0.028751692	0.918983487	0.978327154	0.166278818	0.55366749	0.85110472	
Afatinib_UPPER_AERODIGESTIVE_TRACT	-0.007391082	0.978327154	0.978327154	0.101346071	0.708802912	0.85110472	
Afatinib_URINARY_TRACT	-0.094432187	0.683893123	0.876527733	-0.038805754	0.867367318	0.886015005	
AICA Ribonucleotide_BILIARY	0.013986014	0.965590269	0.995588958	-0.299273645	0.344665532	0.738597806	
AICA Ribonucleotide_BONE_AND_SOFT_TISSUE	0.245098039	0.343046653	0.871464016	-0.002818172	0.991435287	0.991435287	
AICA Ribonucleotide_BREAST	-0.070452027	0.716486142	0.995588958	-0.184275886	0.33860055	0.738597806	
AICA Ribonucleotide_CENTRAL_NERVOUS_SYSTEM	-0.011549038	0.949978378	0.995588958	-0.256530113	0.156406103	0.738597806	
AICA Ribonucleotide_DLBC	0.001094691	0.995588958	0.995588958	0.031434804	0.873832288	0.953271587	
AICA Ribonucleotide_LARGE_INTESTINE	-0.398245614	0.091266564	0.547599386	-0.135227841	0.580966364	0.774621819	
AICA Ribonucleotide_LCLL	0.095524674	0.568345325	0.995588958	-0.093745621	0.575603787	0.774621819	
AICA Ribonucleotide_LUNG	0.049306234	0.654064393	0.995588958	-0.066967562	0.542555593	0.774621819	
AICA Ribonucleotide_MM	0.041958042	0.896985871	0.995588958	-0.113416061	0.725622079	0.870746494	
AICA Ribonucleotide_OESOPHAGUS	0.271428571	0.327789307	0.871464016	0.313399204	0.255354412	0.738597806	
AICA Ribonucleotide_OVARY	0.775	0.000689645	0.008275745	0.577111867	0.024287474	0.291449683	
AICA Ribonucleotide_SKIN	-0.221052632	0.363110007	0.871464016	-0.218286157	0.369298903	0.738597806	
AKT inhibitor VIII_BILIARY	0.344190003	0.067503382	0.320641064	0.272074664	0.153344572	0.623005627	
AKT inhibitor VIII_BONE_AND_SOFT_TISSUE	-0.107149125	0.504902882	0.832987802	-0.009119956	0.954870684	0.989525091	
AKT inhibitor VIII_BREAST	0.288816982	0.018678318	0.177444017	0.25119034	0.041907824	0.623005627	
AKT inhibitor VIII_CENTRAL_NERVOUS_SYSTEM	0.289672704	0.015001877	0.177444017	0.197984615	0.100395356	0.623005627	
AKT inhibitor VIII_CERVICAL	-0.34522508	0.147731594	0.479274728	-0.332729928	0.163948849	0.623005627	
AKT inhibitor VIII_DLBC	-0.025872331	0.83662976	0.984032892	-0.043802925	0.726920314	0.986534712	
AKT inhibitor VIII_KIDNEY	-0.174455675	0.437460541	0.832987802	-0.108501169	0.630777841	0.921906075	
AKT inhibitor VIII_LARGE_INTESTINE	0.08768395	0.605819372	0.832987802	0.107108784	0.528056979	0.921906075	
AKT inhibitor VIII_LCLL	0.005641285	0.960904576	0.984032892	0.021034858	0.854958342	0.989525091	
AKT inhibitor VIII_LUNG	0.134393403	0.053527206	0.320641064	0.089174936	0.201326337	0.637533402	
AKT inhibitor VIII_MM	-0.004531316	0.984032892	0.984032892	0.11657692	0.605404647	0.921906075	
AKT inhibitor VIII_OESOPHAGUS	0.134872945	0.454254511	0.832987802	0.187255894	0.296720525	0.704711247	
AKT inhibitor VIII_OVARY	-0.109398062	0.551161324	0.832987802	0.002417018	0.989525091	0.989525091	
AKT inhibitor VIII_PANCREAS	-0.020924222	0.922690349	0.984032892	-0.110502753	0.607230818	0.921906075	
AKT inhibitor VIII_SKIN	-0.14099207	0.349985096	0.832987802	-0.165445036	0.271848498	0.704711247	
AKT inhibitor VIII_STOMACH	-0.141961478	0.613780486	0.832987802	0.044870225	0.873839119	0.989525091	
AKT inhibitor VIII_THYROID	-0.171600637	0.525125549	0.832987802	-0.016946413	0.950331189	0.989525091	
AKT inhibitor VIII_UPPER_AERODIGESTIVE_TRACT	-0.352518093	0.151349914	0.479274728	-0.43061292	0.074438925	0.623005627	
AKT inhibitor VIII_URINARY_TRACT	0.031386332	0.884246569	0.984032892	0.10609275	0.621732366	0.921906075	
Alectinib_BILIARY	0.321428571	0.242719047	0.696863426	0.378516587	0.164156933	0.780923713	
Alectinib_BONE_AND_SOFT_TISSUE	0.007792208	0.973258183	0.973258183	0.101278475	0.662239584	0.82779948	
Alectinib_BREAST	-0.096933233	0.591519965	0.752624285	0.110033739	0.542140919	0.808056096	
Alectinib_CENTRAL_NERVOUS_SYSTEM	-0.151982072	0.38344703	0.696863426	-0.298475209	0.081574791	0.611810935	
Alectinib_DLBC	-0.279692082	0.121056157	0.696863426	-0.360928537	0.042409915	0.611810935	
Alectinib_KIDNEY	0.054545455	0.873446578	0.935835619	-0.001538384	0.99641833	0.99641833	
Alectinib_LARGE_INTESTINE	0.449350649	0.040996674	0.614950103	0.187193566	0.416492647	0.780923713	
Alectinib_LCLL	0.113765182	0.49045077	0.735676155	0.116902189	0.478487657	0.797479429	
Alectinib_LUNG	0.080635241	0.418118055	0.696863426	0.12500587	0.208344958	0.780923713	
Alectinib_MM	0.327272727	0.325894941	0.696863426	0.306347116	0.359538288	0.780923713	
Alectinib_OESOPHAGUS	0.291666667	0.256002607	0.696863426	0.271725289	0.291411246	0.780923713	
Alectinib_OVARY	0.288235294	0.27898446	0.696863426	0.030694667	0.910153672	0.975164649	
Alectinib_PANCREAS	0.06993007	0.829023641	0.935835619	0.062255988	0.847580889	0.975164649	
Alectinib_SKIN	-0.206721273	0.355988575	0.696863426	-0.188733686	0.400255834	0.780923713	
Alectinib_URINARY_TRACT	-0.167832168	0.602099428	0.752624285	-0.172184419	0.592574471	0.808056096	
Amuvatinib_BILIARY	0.260714286	0.34797946	0.927895094	0.431935139	0.107881205	0.778574408	
Amuvatinib_BONE_AND_SOFT_TISSUE	0.055844156	0.809999214	0.997622169	0.084855792	0.714583146	0.964284236	
Amuvatinib_BREAST	-0.134870895	0.454261433	0.927895094	-0.079098199	0.661711852	0.964284236	
Amuvatinib_CENTRAL_NERVOUS_SYSTEM	-0.000514867	0.997622169	0.997622169	0.138402037	0.4208251	0.778574408	
Amuvatinib_DLBC	-0.219941349	0.226449867	0.927895094	0.007481579	0.967583802	0.967583802	
Amuvatinib_KIDNEY	0.018181818	0.957685241	0.997622169	-0.06146404	0.857527769	0.967583802	
Amuvatinib_LARGE_INTESTINE	0.160902256	0.497974414	0.927895094	0.223724627	0.343028672	0.778574408	
Amuvatinib_LCLL	0.04534413	0.784006431	0.997622169	0.048055182	0.771427389	0.964284236	
Amuvatinib_LUNG	-0.165432939	0.094919643	0.73981356	-0.075266175	0.449877943	0.778574408	
Amuvatinib_MM	-0.045454545	0.894426997	0.997622169	-0.458747688	0.155829936	0.778574408	
Amuvatinib_OESOPHAGUS	-0.100490196	0.701166769	0.997622169	-0.214573028	0.408227125	0.778574408	
Amuvatinib_OVARY	0.217647059	0.418086842	0.927895094	0.216305445	0.421032789	0.778574408	
Amuvatinib_PANCREAS	-0.272727273	0.391096771	0.927895094	-0.466209085	0.126587324	0.778574408	
Amuvatinib_SKIN	-0.352853977	0.098641808	0.73981356	-0.159539288	0.467144645	0.778574408	
Amuvatinib_URINARY_TRACT	-0.188811189	0.556737056	0.927895094	-0.021389022	0.947395049	0.967583802	
AR-42_BILIARY	0.6	0.018050088	0.13537566	0.440495212	0.100314679	0.300944038	
AR-42_BONE_AND_SOFT_TISSUE	0.141353383	0.552214439	0.733961942	0.097011622	0.684099137	0.754650035	
AR-42_BREAST	-0.02567041	0.885415426	0.885415426	-0.095637997	0.590551101	0.738188876	
AR-42_CENTRAL_NERVOUS_SYSTEM	-0.055863046	0.746239317	0.799542126	-0.314751633	0.061525852	0.300944038	
AR-42_DLBC	0.099706745	0.587169553	0.733961942	0.069775397	0.704340032	0.754650035	
AR-42_KIDNEY	0.536363636	0.088953418	0.333575318	0.253908221	0.451210827	0.674848996	
AR-42_LARGE_INTESTINE	0.297744361	0.202319986	0.484727239	0.216386976	0.359496856	0.674056604	
AR-42_LCLL	0.09136667	0.58537478	0.733961942	0.029854283	0.858781102	0.858781102	
AR-42_LUNG	-0.237743268	0.015599082	0.13537566	-0.188159402	0.056995973	0.300944038	
AR-42_MM	0.136363636	0.689309021	0.795356562	0.230719726	0.494889263	0.674848996	
AR-42_OESOPHAGUS	0.276960784	0.281843163	0.52845593	0.369850069	0.143964949	0.321597065	
AR-42_OVARY	0.396428571	0.143494531	0.430483594	0.390543735	0.15007863	0.321597065	
AR-42_PANCREAS	-0.300699301	0.342259529	0.570432548	-0.263605417	0.407751257	0.674848996	
AR-42_SKIN	-0.422535224	0.044579323	0.222896614	-0.363552802	0.088152989	0.300944038	
AR-42_URINARY_TRACT	-0.377622378	0.226206045	0.484727239	-0.509355963	0.090750144	0.300944038	
AS601245_BILIARY	0.153571429	0.584764095	0.89633159	0.211193452	0.449905129	0.722398373	
AS601245_BONE_AND_SOFT_TISSUE	-0.067669173	0.776820712	0.89633159	-0.021480471	0.928376233	0.939785011	
AS601245_BREAST	0.133852854	0.450427923	0.89633159	0.313793658	0.070726156	0.35363078	
AS601245_CENTRAL_NERVOUS_SYSTEM	0.617733582	7.70E-05	0.001154543	0.217513478	0.209411228	0.628233683	
AS601245_DLBC	-0.072947214	0.691541972	0.89633159	-0.040634096	0.825242774	0.939785011	
AS601245_KIDNEY	-0.036363636	0.915468317	0.917428583	-0.051696744	0.880013682	0.939785011	
AS601245_LARGE_INTESTINE	-0.126470588	0.640694441	0.89633159	-0.21809624	0.417102934	0.722398373	
AS601245_LCLL	0.017397965	0.917428583	0.917428583	-0.012677226	0.939785011	0.939785011	
AS601245_LUNG	0.3130409	0.00128384	0.009628801	0.220705748	0.025072457	0.237125971	
AS601245_MM	-0.363636364	0.271637541	0.814912623	-0.25769922	0.444246056	0.722398373	
AS601245_OESOPHAGUS	0.45	0.080295737	0.401478683	0.230950891	0.389464563	0.722398373	
AS601245_OVARY	0.089285714	0.751672517	0.89633159	0.130193375	0.64374494	0.87783401	
AS601245_PANCREAS	0.2	0.555445442	0.89633159	0.237674187	0.481598916	0.722398373	
AS601245_SKIN	0.27872499	0.197788889	0.741708335	0.275034674	0.204038773	0.628233683	
AS601245_URINARY_TRACT	0.244755245	0.443261936	0.89633159	0.619693058	0.031616796	0.237125971	
AS605240_BILIARY	0.046428571	0.869491526	0.869491526	0.150521495	0.592332219	0.740415274	
AS605240_BONE_AND_SOFT_TISSUE	0.112987013	0.625809635	0.759342759	0.09365093	0.686379727	0.791976608	
AS605240_BREAST	0.227824892	0.195021418	0.637600834	0.010829817	0.951528198	0.951528198	
AS605240_CENTRAL_NERVOUS_SYSTEM	0.152262223	0.382560501	0.637600834	0.224899933	0.193971637	0.684379518	
AS605240_DLBC	-0.197947214	0.277479677	0.637600834	-0.124669775	0.496605796	0.740415274	
AS605240_KIDNEY	0.327272727	0.325894941	0.637600834	0.383421772	0.244414171	0.684379518	
AS605240_LARGE_INTESTINE	0.102597403	0.658097058	0.759342759	0.16865775	0.464888424	0.740415274	
AS605240_LCLL	0.177125506	0.280713917	0.637600834	0.149579684	0.363423793	0.684379518	
AS605240_LUNG	-0.072661776	0.465756045	0.698634067	-0.107166818	0.281276047	0.684379518	
AS605240_MM	0.3	0.370083122	0.637600834	0.303046419	0.365002409	0.684379518	
AS605240_OESOPHAGUS	0.245098039	0.343046653	0.637600834	0.241861594	0.349658236	0.684379518	
AS605240_OVARY	-0.078571429	0.780754552	0.836522735	0.077444449	0.783829971	0.839817826	
AS605240_PANCREAS	-0.20979021	0.512840943	0.699328559	-0.180146413	0.575302238	0.740415274	
AS605240_SKIN	-0.618382624	0.002807996	0.042119947	-0.431922231	0.050552732	0.396171655	
AS605240_URINARY_TRACT	-0.342657343	0.275567451	0.637600834	-0.57034098	0.052822887	0.396171655	
AT-7519_BILIARY	-0.071428571	0.800295987	0.955538672	-0.04522644	0.872845025	0.872845025	
AT-7519_BONE_AND_SOFT_TISSUE	0.079616036	0.72469268	0.955538672	-0.065447527	0.772300191	0.872845025	
AT-7519_BREAST	0.078386432	0.659466148	0.955538672	0.047771408	0.788478558	0.872845025	
AT-7519_CENTRAL_NERVOUS_SYSTEM	0.151894867	0.391138377	0.955538672	-0.1775118	0.315208895	0.872845025	
AT-7519_DLBC	-0.01026393	0.955538672	0.955538672	-0.1139593	0.534578866	0.872845025	
AT-7519_KIDNEY	0.045454545	0.894426997	0.955538672	0.225636045	0.504704993	0.872845025	
AT-7519_LARGE_INTESTINE	-0.012987013	0.955443932	0.955538672	0.070488005	0.761421205	0.872845025	
AT-7519_LCLL	-0.087651822	0.595696634	0.955538672	-0.135169399	0.41196326	0.872845025	
AT-7519_LUNG	-0.128882506	0.196704064	0.955538672	-0.035854488	0.720519355	0.872845025	
AT-7519_MM	-0.2	0.555445442	0.955538672	-0.313959796	0.34709838	0.872845025	
AT-7519_OESOPHAGUS	0.134803922	0.605966363	0.955538672	0.153895232	0.555374636	0.872845025	
AT-7519_OVARY	-0.055882353	0.837137222	0.955538672	-0.046743657	0.863515826	0.872845025	
AT-7519_PANCREAS	-0.174825175	0.586823664	0.955538672	-0.286644825	0.366371016	0.872845025	
AT-7519_SKIN	-0.07624965	0.735922623	0.955538672	0.075285224	0.739149589	0.872845025	
AT-7519_URINARY_TRACT	-0.104895105	0.745609481	0.955538672	-0.147580854	0.647155144	0.872845025	
Avagacestat_BILIARY	0.24098736	0.216699463	0.717758064	0.159752756	0.416776491	0.922413453	
Avagacestat_BONE_AND_SOFT_TISSUE	-0.015169353	0.925003703	0.925003703	0.059250562	0.71288848	0.922413453	
Avagacestat_BREAST	-0.043264872	0.732196803	0.925003703	0.038696172	0.759574374	0.922413453	
Avagacestat_CENTRAL_NERVOUS_SYSTEM	-0.052625555	0.669953798	0.925003703	0.032543358	0.792200804	0.922413453	
Avagacestat_CERVICAL	0.108375699	0.678850957	0.925003703	0.025565154	0.922413453	0.922413453	
Avagacestat_DLBC	-0.074604618	0.574408017	0.925003703	-0.046191655	0.72829165	0.922413453	
Avagacestat_KIDNEY	0.049511663	0.831227254	0.925003703	-0.110074233	0.634798476	0.922413453	
Avagacestat_LARGE_INTESTINE	0.216698199	0.162786373	0.717758064	0.055096252	0.725655232	0.922413453	
Avagacestat_LCLL	0.092893245	0.409467893	0.925003703	0.068578961	0.542965769	0.922413453	
Avagacestat_LUNG	0.101886774	0.151115173	0.717758064	0.090120379	0.204408961	0.922413453	
Avagacestat_MM	-0.393362867	0.063315423	0.717758064	-0.182324762	0.405042428	0.922413453	
Avagacestat_OESOPHAGUS	-0.026313799	0.882563139	0.925003703	-0.055051103	0.757148009	0.922413453	
Avagacestat_OVARY	-0.042107652	0.825146233	0.925003703	0.104947638	0.580999908	0.922413453	
Avagacestat_PANCREAS	-0.256321714	0.226660441	0.717758064	-0.432274808	0.034894334	0.331496174	
Avagacestat_SKIN	-0.212777119	0.151016915	0.717758064	-0.336246001	0.020841189	0.331496174	
Avagacestat_STOMACH	-0.22912354	0.393331838	0.925003703	-0.059296538	0.827322377	0.922413453	
Avagacestat_THYROID	0.100593477	0.71087837	0.925003703	0.238776988	0.373136246	0.922413453	
Avagacestat_UPPER_AERODIGESTIVE_TRACT	0.190774497	0.448279581	0.925003703	0.140485362	0.578204655	0.922413453	
Avagacestat_URINARY_TRACT	-0.061431984	0.780666547	0.925003703	-0.02913692	0.895007435	0.922413453	
Axitinib_BILIARY	-0.167832168	0.602099428	0.802780536	0.254117204	0.42544365	0.691345931	
Axitinib_BONE_AND_SOFT_TISSUE	-0.144607843	0.579754799	0.802780536	-0.360849556	0.154744349	0.607025947	
Axitinib_BREAST	-0.209139058	0.276240263	0.802780536	-0.188724948	0.326860125	0.607025947	
Axitinib_CENTRAL_NERVOUS_SYSTEM	-0.325389556	0.069176961	0.802780536	-0.321733037	0.072546579	0.607025947	
Axitinib_DLBC	-0.064039409	0.746129111	0.842658413	-0.264349381	0.174033409	0.607025947	
Axitinib_LARGE_INTESTINE	-0.247368421	0.307238696	0.802780536	-0.096403636	0.69461317	0.79305518	
Axitinib_LCLL	-0.001417004	0.99316918	0.99316918	-0.162120815	0.324110084	0.607025947	
Axitinib_LUNG	-0.031244305	0.777838535	0.842658413	0.037913404	0.732050935	0.79305518	
Axitinib_MM	-0.160839161	0.61752349	0.802780536	-0.182260397	0.570750214	0.741975279	
Axitinib_OESOPHAGUS	-0.167857143	0.549855554	0.802780536	0.019307309	0.9455506	0.9455506	
Axitinib_OVARY	0.164285714	0.558497373	0.802780536	0.325867441	0.235902887	0.607025947	
Axitinib_PANCREAS	-0.345454545	0.328226511	0.802780536	-0.234966237	0.513460583	0.741665286	
Axitinib_SKIN	0.342105263	0.151671961	0.802780536	0.260565637	0.281291547	0.607025947	
AZ628_CENTRAL_NERVOUS_SYSTEM	-0.165413534	0.485837704	0.971675409	0.060802398	0.798998682	0.798998682	
AZ628_DLBC	-0.026392962	0.885985489	0.980750182	-0.124902942	0.495794597	0.798998682	
AZ628_LCLL	-0.003939962	0.980750182	0.980750182	-0.075046615	0.645347033	0.798998682	
AZ628_LUNG	0.24134661	0.150139468	0.600557872	-0.078250824	0.645264075	0.798998682	
AZD6482_BILIARY	0.199314916	0.309229852	0.734420898	-0.107096228	0.587524344	0.731541746	
AZD6482_BONE_AND_SOFT_TISSUE	0.001620828	0.992186651	0.992186651	0.19055467	0.245243252	0.517735754	
AZD6482_BREAST	0.139871781	0.278241247	0.734420898	0.153056632	0.234969072	0.517735754	
AZD6482_CENTRAL_NERVOUS_SYSTEM	0.250386395	0.042590164	0.322679423	0.195400644	0.115878717	0.517735754	
AZD6482_CERVICAL	-0.123078065	0.637921664	0.808034107	-0.157488444	0.546064349	0.731541746	
AZD6482_DLBC	0.077579257	0.552328149	0.808034107	0.065493518	0.616035154	0.731541746	
AZD6482_KIDNEY	-0.115310058	0.618677076	0.808034107	0.09961752	0.667469882	0.740638376	
AZD6482_LARGE_INTESTINE	-0.153657954	0.370925751	0.783065473	-0.221557826	0.194067028	0.517735754	
AZD6482_LCLL	-0.062682807	0.58069359	0.808034107	0.087439565	0.440556812	0.697548286	
AZD6482_LUNG	0.216242372	0.002157596	0.040994328	0.205640117	0.003570092	0.067831752	
AZD6482_MM	-0.162002088	0.460206127	0.808034107	-0.209149676	0.338183856	0.58413575	
AZD6482_OESOPHAGUS	-0.014682954	0.936429022	0.988452857	-0.060882464	0.740638376	0.740638376	
AZD6482_OVARY	0.200735423	0.287497023	0.734420898	0.181814021	0.336266526	0.58413575	
AZD6482_PANCREAS	0.406243767	0.054415113	0.322679423	0.255362597	0.239593303	0.517735754	
AZD6482_SKIN	0.039818357	0.802305861	0.95273821	-0.1002084	0.52776699	0.731541746	
AZD6482_STOMACH	0.026588149	0.922137264	0.988452857	0.3138658	0.236478322	0.517735754	
AZD6482_THYROID	0.307697694	0.246312334	0.734420898	0.376374419	0.150760872	0.517735754	
AZD6482_UPPER_AERODIGESTIVE_TRACT	-0.439610798	0.06793251	0.322679423	-0.535523597	0.021996743	0.20896906	
AZD6482_URINARY_TRACT	-0.132772353	0.54589156	0.808034107	0.082872734	0.706970893	0.740638376	
AZD7762_BILIARY	-0.398601399	0.199335495	0.431893572	-0.215001514	0.502178571	0.849816654	
AZD7762_BONE_AND_SOFT_TISSUE	0.156862745	0.547680585	0.66814623	0.092711615	0.723408774	0.888306815	
AZD7762_BREAST	-0.179578767	0.35126873	0.527898671	0.027275323	0.888306815	0.888306815	
AZD7762_CENTRAL_NERVOUS_SYSTEM	-0.197800187	0.277843956	0.515995918	-0.061386675	0.738564765	0.888306815	
AZD7762_DLBC	0.01532567	0.938303086	0.938303086	0.033582755	0.865286271	0.888306815	
AZD7762_LARGE_INTESTINE	-0.347368421	0.145066057	0.431893572	-0.468838472	0.042882719	0.278737673	
AZD7762_LCLL	0.094939271	0.565354502	0.66814623	-0.045649184	0.782588234	0.888306815	
AZD7762_LUNG	0.23378933	0.031282889	0.203338776	0.122939884	0.26231945	0.682030569	
AZD7762_MM	0.118881119	0.712884219	0.772291237	-0.219093646	0.493875858	0.849816654	
AZD7762_OESOPHAGUS	0.353571429	0.196071678	0.431893572	0.339745187	0.215367798	0.682030569	
AZD7762_OVARY	0.417857143	0.121172536	0.431893572	0.466101703	0.07991073	0.34627983	
AZD7762_PANCREAS	0.321212121	0.36546831	0.527898671	0.229834332	0.522964095	0.849816654	
AZD7762_SKIN	0.505263158	0.023059229	0.203338776	0.51972796	0.018836737	0.244877576	
AZD8055_BILIARY	-0.328671329	0.296904116	0.771950701	-0.086707152	0.788743664	0.899866375	
AZD8055_BONE_AND_SOFT_TISSUE	0.208823529	0.437658511	0.812794377	0.411790397	0.113009156	0.367279757	
AZD8055_BREAST	-0.348706723	0.068969107	0.437515654	-0.266826765	0.169883561	0.441697259	
AZD8055_CENTRAL_NERVOUS_SYSTEM	0.010265811	0.955530529	0.955530529	0.213034355	0.241737053	0.5109814	
AZD8055_DLBC	-0.086985539	0.647625897	0.841748335	-0.076236647	0.688857573	0.895514844	
AZD8055_LARGE_INTESTINE	-0.421052632	0.072612039	0.437515654	-0.263800833	0.275143831	0.5109814	
AZD8055_LCLL	-0.050844278	0.755365712	0.841748335	-0.092041677	0.57216568	0.826461538	
AZD8055_LUNG	0.041119181	0.712061786	0.841748335	0.105242217	0.343692636	0.558500534	
AZD8055_MM	-0.472727273	0.14199852	0.461495191	-0.715536615	0.01329285	0.17280705	
AZD8055_OESOPHAGUS	0.096428571	0.732452863	0.841748335	0.060412801	0.830645885	0.899866375	
